model,dataset,spearman_fp32_ptq,spearman_fp32_qat,conv1_fp32,conv1_ptq,conv1_ptq_amplification,conv1_amp_rank,top_amplified_layer,banked_fp32_matches,note
resnet50_no_weights,CIFAR10,-0.15082904516866777,0.8502001143510577,11.790860557556153,1030.9168579989466,5.169515675437258,1,conv1,yes,banked FP32 profile AGREES with this run's fp32_unfused on 91% of 54 common layers (tolerance 30% relative diff) -- the established 'FP32 conv1 14x' claim is misattributed and should read PTQ.
resnet18_no_weights,CIFAR10,0.5909090909090908,0.6012987012987013,23.1393101340846,181.974486214774,0.7733824866188608,20,layer3.1.conv2,no,"banked FP32 profile DISAGREES with this run's fp32_unfused on 86% of 21 common layers (tolerance 30%) -- this looks like a config/computation difference between the two runs, not a finding. Mismatched layers: conv1: banked=12.21 vs unfused=23.14 (47%); layer1.0.conv1: banked=22.35 vs unfused=44.14 (49%); layer1.0.conv2: banked=32.56 vs unfused=60.91 (47%); layer1.1.conv1: banked=33.21 vs unfused=69.24 (52%); layer1.1.conv2: banked=23.29 vs unfused=35.56 (35%); layer2.0.conv2: banked=39.02 vs unfused=67.62 (42%); layer2.0.downsample.0: banked=25.5 vs unfused=44.07 (42%); layer2.1.conv1: banked=28.05 vs unfused=60.5 (54%); layer2.1.conv2: banked=26.48 vs unfused=40.78 (35%); layer3.0.conv1: banked=49.46 vs unfused=73.2 (32%)"
cnn,CIFAR10,,,54.0763034025828,301.37780311780097,0.9037883907028328,6,fc1,yes,banked FP32 profile AGREES with this run's fp32_unfused on 100% of 6 common layers (tolerance 30% relative diff) -- the established 'FP32 conv1 14x' claim is misattributed and should read PTQ.
