model,dataset,canonical_layer,trace_fp32_unfused,trace_fp32_fused,trace_ptq,trace_fp32_fused_qat,trace_qat,fusion_ratio,ptq_amplification,qat_amplification,elev_ptq,elev_qat,verdict
resnet50_no_weights,CIFAR10,conv1,11.790860557556153,199.42232942581177,1030.9168579989466,182.20724868774414,95.70584377165764,16.913297248521214,5.169515675437258,0.5252581577348362,1425.2805168487653,11.19594496993605,quant_induced
resnet50_no_weights,CIFAR10,layer1.0.conv1,4.256371633211772,4.119198007403679,10.431173041563582,2.9583099303038223,1.2046397972106933,0.967772168967167,2.5323310563888928,0.40720540632704266,14.42148082909111,0.14092222947581298,quant_induced
resnet50_no_weights,CIFAR10,layer1.0.conv2,3.4999062382445043,5.676793399610017,22.022082960376373,4.116869779995509,2.5616895430015796,1.6219844227762523,3.879317320565029,0.6222420625129352,30.446340595085793,0.2996738132515141,quant_induced
resnet50_no_weights,CIFAR10,layer1.0.conv3,2.912586544689379,2.8312233115235963,5.15650637394477,1.7015605370203655,1.019596579399976,0.972064956039114,1.8212997727720193,0.599212638761246,7.129059936080184,0.11927534144866615,quant_induced
resnet50_no_weights,CIFAR10,layer1.0.downsample.0,16.56778051739647,7.336417825598466,2.0089843285083773,6.319279013008907,2.950114618986845,0.4428123500245005,0.2738372290491095,0.4668435454287935,2.7774948094605856,0.34511289621963387,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.1.conv1,2.7817051804671853,7.2381736896932125,13.90222792530173,3.466850763461629,2.066444754600525,2.6020635617745684,1.920681724603789,0.5960581794807899,19.220342017865843,0.24173865298256664,quant_induced
resnet50_no_weights,CIFAR10,layer1.1.conv2,3.3943987920366485,5.3156028111775715,4.314628159222395,2.9815823978847926,1.8810378529808738,1.565992429542492,0.8116912253394213,0.6308857519132551,5.965132304387068,0.2200492201770571,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.1.conv3,2.618541192263365,2.378356546163559,1.1429196219891309,1.3553104948353123,0.8040062275372053,0.9082753989857232,0.4805501613426016,0.5932265931688977,1.5801284622575533,0.09405496178968094,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.2.conv1,4.812057596881215,13.241928988489612,13.9614003354311,6.860305180916419,3.512834952937232,2.751822629278576,1.0543328202082098,0.5120522863485758,19.302150053730227,0.41094153994805693,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.2.conv2,11.017738382021586,20.28659699757894,1.0528090036398656,8.68442496231624,6.119126811623573,1.841266900172725,0.05189677715614457,0.704609325105105,1.4555472143151185,0.7158330604184712,fp32_intrinsic
