model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2,6.632978122681379,80.56,80.45,0.10999999999999943,75.34,-0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3,73.68705788174191,80.56,80.53,0.030000000000001137,75.24,-0.23000000000000398
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,80.71838898354389,80.56,80.2,0.35999999999999943,76.19,0.7199999999999989
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1,17.313284939733045,80.56,80.57,-0.009999999999990905,75.61,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2,75.27235912454539,80.56,80.53,0.030000000000001137,75.53,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3,129.57223289891294,80.56,80.61,-0.04999999999999716,75.52,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1,6.125518001042879,80.56,80.34,0.21999999999999886,75.7,0.23000000000000398
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2,25.711220093493196,80.56,80.61,-0.04999999999999716,75.41,-0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3,30.488268986726418,80.56,80.57,-0.009999999999990905,75.2,-0.269999999999996
resnet50_no_weights,CIFAR10,PTQ,fc,17.41729800597481,80.56,80.45,0.10999999999999943,74.87,-0.5999999999999943
resnet50_no_weights,CIFAR10,QAT,conv1,183.24382030602655,80.56,81.91,-1.3499999999999943,83.9,-0.539999999999992
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,2.399101393019899,80.56,80.81,-0.25,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,3.974055928714348,80.56,80.39,0.1700000000000017,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,1.5170979227049877,80.56,80.29,0.269999999999996,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,3.216872658048357,80.56,80.4,0.1599999999999966,84.5,0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,3.987918169602104,80.56,80.44,0.12000000000000455,84.37,-0.06999999999999318
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,2.4508184506779624,80.56,80.48,0.0799999999999983,84.39,-0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,1.0229292584432137,80.56,80.36,0.20000000000000284,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,4.728630147482219,80.56,80.2,0.35999999999999943,84.5,0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,4.788353024645055,80.56,80.72,-0.1599999999999966,84.23,-0.20999999999999375
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,2.3589966618097744,80.56,80.57,-0.009999999999990905,84.4,-0.03999999999999204
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1,15.995418913224164,80.56,80.78,-0.21999999999999886,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2,24.12667251402332,80.56,80.89,-0.3299999999999983,84.62,0.18000000000000682
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3,11.02279040813446,80.56,80.9,-0.3400000000000034,84.67,0.23000000000000398
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0,15.9504011581684,80.56,81.01,-0.45000000000000284,84.41,-0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1,2.7641284267107644,80.56,80.37,0.18999999999999773,84.39,-0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2,2.696769124171773,80.56,80.49,0.07000000000000739,84.38,-0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3,2.909193681819098,80.56,80.52,0.04000000000000625,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1,4.480977555116017,80.56,80.48,0.0799999999999983,84.38,-0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2,2.488153249025345,80.56,80.42,0.14000000000000057,84.49,0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3,3.1805098681222823,80.56,80.45,0.10999999999999943,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1,5.15109498160226,80.56,80.52,0.04000000000000625,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2,6.802356565699858,80.56,80.6,-0.03999999999999204,84.46,0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3,4.344486826505417,80.56,80.44,0.12000000000000455,84.38,-0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1,36.62952559334891,80.56,80.66,-0.09999999999999432,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2,26.166192531585693,80.56,80.83,-0.269999999999996,84.63,0.18999999999999773
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3,13.538739008062024,80.56,80.7,-0.14000000000000057,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0,21.21958179473877,80.56,80.71,-0.14999999999999147,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1,5.703507834010654,80.56,80.55,0.010000000000005116,84.41,-0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2,7.599945342901981,80.56,80.67,-0.10999999999999943,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3,5.693531289696693,80.56,80.53,0.030000000000001137,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1,9.249681132180353,80.56,80.5,0.060000000000002274,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2,7.709196844100952,80.56,80.57,-0.009999999999990905,84.45,0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3,6.114893215673941,80.56,80.42,0.14000000000000057,84.45,0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1,22.640834313851816,80.56,80.49,0.07000000000000739,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2,14.608375479958276,80.56,80.46,0.10000000000000853,84.47,0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3,8.666889190673828,80.56,80.45,0.10999999999999943,84.46,0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1,28.411259867928244,80.56,80.64,-0.0799999999999983,84.39,-0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2,10.197985728581749,80.56,80.47,0.09000000000000341,84.41,-0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3,8.970944702625275,80.56,80.44,0.12000000000000455,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1,22.63941237801,80.56,80.64,-0.0799999999999983,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2,4.435404939651489,80.56,80.63,-0.06999999999999318,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3,4.380026851381574,80.56,80.51,0.04999999999999716,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1,26.18812153074477,80.56,80.41,0.15000000000000568,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2,8.309277534484863,80.56,80.53,0.030000000000001137,84.46,0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3,6.350637594858806,80.56,80.43,0.12999999999999545,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0,52.98683420817057,80.56,80.96,-0.3999999999999915,84.37,-0.06999999999999318
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1,20.37580736945657,80.56,80.55,0.010000000000005116,84.54,0.10000000000000853
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2,54.19021253232603,80.56,80.53,0.030000000000001137,84.47,0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3,15.213810744108978,80.56,80.43,0.12999999999999545,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1,23.551600138346355,80.56,80.45,0.10999999999999943,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2,7.929142288539721,80.56,80.39,0.1700000000000017,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3,4.685463322533502,80.56,80.37,0.18999999999999773,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,fc,4.51448903823721,80.56,80.79,-0.23000000000000398,84.39,-0.04999999999999716
