model,dataset,stage,layer,trace
cnn,IMAGENET100,FP32,conv1.weight,32.9900947239088
cnn,IMAGENET100,FP32,conv2.weight,183.71520487467447
cnn,IMAGENET100,FP32,conv3.weight,74.1088708948206
cnn,IMAGENET100,FP32,conv4.weight,27.271353759765624
cnn,IMAGENET100,FP32,fc1.weight,32.64939880371094
cnn,IMAGENET100,FP32,fc2.weight,53.18850962320963
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,96.63222927517361
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,30.31605478922526
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,15.996297244367929
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,18.138311523861354
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,8.942585849761963
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,44.15278091430664
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,22.699305574944677
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,65.73976348876953
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,28.38457769506118
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,37.93863162287959
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,77.51609463161893
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,72.75797367095947
resnet18_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,46.205216921292816
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,63.9457157504174
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv2.weight,54.683020498238356
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv1.weight,85.74267087663922
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv2.weight,85.00552597045899
resnet18_no_weights,IMAGENET100,FP32,layer4.0.downsample.0.weight,46.03990922655378
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv1.weight,105.80208418104384
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv2.weight,59.92495981852213
resnet18_no_weights,IMAGENET100,FP32,fc.weight,37.33401107788086
resnet50_no_weights,IMAGENET100,FP32,conv1.weight,39.824520631269976
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,14.137981488154484
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,11.217959627960667
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv3.weight,6.05916988408124
resnet50_no_weights,IMAGENET100,FP32,layer1.0.downsample.0.weight,47.56599316067166
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,3.2810121309012175
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,1.3481039504210155
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv3.weight,2.3627850186257136
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv1.weight,0.7530992829799652
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv2.weight,0.5297211018892435
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv3.weight,0.8279034483666513
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,2.6015102910617043
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,1.2083808075297962
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv3.weight,2.7679902769270397
resnet50_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,26.899065711281516
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,1.3872926612695058
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,1.8771909732710232
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv3.weight,2.9731832919297396
resnet50_no_weights,IMAGENET100,FP32,layer2.2.conv1.weight,1.5317018040128656
resnet50_no_weights,IMAGENET100,FP32,layer2.2.conv2.weight,1.999320587207531
resnet50_no_weights,IMAGENET100,FP32,layer2.2.conv3.weight,2.4332796511102894
resnet50_no_weights,IMAGENET100,FP32,layer2.3.conv1.weight,2.6743490329155555
resnet50_no_weights,IMAGENET100,FP32,layer2.3.conv2.weight,1.362718369279589
resnet50_no_weights,IMAGENET100,FP32,layer2.3.conv3.weight,3.0893528972353255
resnet50_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,2.970526568706219
resnet50_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,3.381231911977132
resnet50_no_weights,IMAGENET100,FP32,layer3.0.conv3.weight,2.3378878959587643
resnet50_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,36.55710019563374
resnet50_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,3.0685520860883924
resnet50_no_weights,IMAGENET100,FP32,layer3.1.conv2.weight,11.45881594657898
resnet50_no_weights,IMAGENET100,FP32,layer3.1.conv3.weight,6.720499308212943
resnet50_no_weights,IMAGENET100,FP32,layer3.2.conv1.weight,2.754224255681038
resnet50_no_weights,IMAGENET100,FP32,layer3.2.conv2.weight,8.711188554763794
resnet50_no_weights,IMAGENET100,FP32,layer3.2.conv3.weight,6.0228506326675415
resnet50_no_weights,IMAGENET100,FP32,layer3.3.conv1.weight,6.530319370072464
resnet50_no_weights,IMAGENET100,FP32,layer3.3.conv2.weight,5.803324739138286
resnet50_no_weights,IMAGENET100,FP32,layer3.3.conv3.weight,5.25676212991987
resnet50_no_weights,IMAGENET100,FP32,layer3.4.conv1.weight,7.30954743027687
resnet50_no_weights,IMAGENET100,FP32,layer3.4.conv2.weight,18.770419707665077
resnet50_no_weights,IMAGENET100,FP32,layer3.4.conv3.weight,8.731716522803673
resnet50_no_weights,IMAGENET100,FP32,layer3.5.conv1.weight,7.1558444408270026
resnet50_no_weights,IMAGENET100,FP32,layer3.5.conv2.weight,9.737551574049325
resnet50_no_weights,IMAGENET100,FP32,layer3.5.conv3.weight,5.520756974816322
resnet50_no_weights,IMAGENET100,FP32,layer4.0.conv1.weight,29.51046875544957
resnet50_no_weights,IMAGENET100,FP32,layer4.0.conv2.weight,22.217228147718643
resnet50_no_weights,IMAGENET100,FP32,layer4.0.conv3.weight,20.828983653675426
resnet50_no_weights,IMAGENET100,FP32,layer4.0.downsample.0.weight,64.88017857869467
resnet50_no_weights,IMAGENET100,FP32,layer4.1.conv1.weight,24.229291742498223
resnet50_no_weights,IMAGENET100,FP32,layer4.1.conv2.weight,59.87195360660553
resnet50_no_weights,IMAGENET100,FP32,layer4.1.conv3.weight,29.19842709435357
resnet50_no_weights,IMAGENET100,FP32,layer4.2.conv1.weight,13.732280523880668
resnet50_no_weights,IMAGENET100,FP32,layer4.2.conv2.weight,14.47957170009613
resnet50_no_weights,IMAGENET100,FP32,layer4.2.conv3.weight,10.14211260355436
resnet50_no_weights,IMAGENET100,FP32,fc.weight,39.54877916971842
cnn,CIFAR10,FP32,conv1.weight,27.950528103372324
cnn,CIFAR10,FP32,conv2.weight,173.9135855436325
cnn,CIFAR10,FP32,conv3.weight,74.01001510620117
cnn,CIFAR10,FP32,conv4.weight,26.241071701049805
cnn,CIFAR10,FP32,fc1.weight,11.39592558145523
cnn,CIFAR10,FP32,fc2.weight,6.916583242870512
resnet18_no_weights,CIFAR10,FP32,conv1.weight,18.09958020846049
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,81.14803174336751
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,55.096897761027016
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,66.65838942656646
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,47.6095271221427
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,80.30422678860751
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,66.22565587361653
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,48.7405021930563
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,48.319862365722656
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,39.009911790186045
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,46.74000144004822
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,33.38049988124681
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,19.81704149246216
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,20.31955337524414
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,20.342305501302082
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,19.241534805297853
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,19.215893918817695
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,14.574894762039184
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,10.186539230924664
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,9.532137193679809
resnet18_no_weights,CIFAR10,FP32,fc.weight,7.573093876242638
resnet50_no_weights,CIFAR10,FP32,conv1.weight,13.133082905182471
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,21.641113104643644
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,16.647946602768368
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,15.00080394744873
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,20.33160552382469
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,3.2752557661798267
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,3.5308123316083635
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,5.513463348150253
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,8.006312608718872
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,3.6520619610945384
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,3.5024001078727918
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,21.88708185619778
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,17.785468101501465
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,8.848568059504032
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,18.871144890785217
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,0.8938547704421299
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,1.27019564807415
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,2.5551336635100212
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,11.108728270530701
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,13.795715599060058
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,7.0306906461715695
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,2.8779938377832113
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,3.3650785256654787
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,4.575769820213318
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,8.726002057393393
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,7.093728032979098
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,5.715961581621414
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,21.050080912453787
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,0.16699899034574628
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,0.4572518803179264
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,2.5227516651153565
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,1.3471961757716011
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,1.9504687104906355
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,3.6058202639222143
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,2.3089580404407837
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,3.6280042416340597
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,3.8170422670689037
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,6.414942534530864
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,7.66145828792027
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,2.9154394547144573
