epoch,total_s,train_s,val_s
1,4.123,3.341,0.781
2,3.687,2.906,0.781
3,3.687,2.906,0.781
4,3.768,2.963,0.805
5,3.659,2.895,0.764
6,3.734,2.974,0.76
7,3.734,2.923,0.81
8,3.716,2.944,0.772
9,3.752,2.956,0.796
10,3.764,3.002,0.761
11,3.709,2.94,0.77
12,3.694,2.941,0.752
13,3.721,2.923,0.799
14,3.539,2.778,0.761
15,3.762,2.956,0.806
16,3.69,2.883,0.807
17,3.667,2.9,0.767
18,3.717,2.944,0.773
19,3.619,2.86,0.759
20,3.781,2.983,0.798
21,3.742,2.973,0.77
22,3.696,2.905,0.791
23,3.679,2.892,0.786
24,3.679,2.914,0.764
25,3.762,2.935,0.827
26,3.813,3.008,0.805
27,3.738,2.945,0.794
28,3.768,2.955,0.814
29,3.732,2.965,0.766
30,3.684,2.908,0.776
31,3.713,2.917,0.797
32,3.658,2.891,0.767
33,3.751,2.935,0.816
34,3.697,2.923,0.774
35,3.78,2.982,0.798
36,3.644,2.866,0.778
37,3.662,2.878,0.784
38,3.772,2.968,0.804
