model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,54.85113960841917,84.69,89.7,-5.010000000000005,90.59,0.04999999999999716
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,8.849751959041674,84.69,89.84,-5.150000000000006,90.49,-0.05000000000001137
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,46.46019328724254,84.69,89.81,-5.1200000000000045,90.58,0.03999999999999204
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,8.388727322220802,84.69,89.79,-5.1000000000000085,90.56,0.01999999999999602
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,3.992757167134966,84.69,89.75,-5.060000000000002,90.6,0.05999999999998806
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,38.563650308653365,84.69,89.75,-5.060000000000002,90.59,0.04999999999999716
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,1.6489897576662211,84.69,89.72,-5.030000000000001,90.55,0.009999999999990905
resnet18_no_weights,CIFAR10,QAT,fc,1.897173750049928,84.69,89.93,-5.240000000000009,90.44,-0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,conv1,13161.826611328124,80.56,78.94,1.6200000000000045,77.69,2.230000000000004
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,93.97798377445766,80.56,80.52,0.04000000000000625,75.71,0.25
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,475.70222058015713,80.56,80.59,-0.030000000000001137,75.4,-0.05999999999998806
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,86.1017331688903,80.56,80.46,0.10000000000000853,75.38,-0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,37.60608850143574,80.56,80.01,0.5499999999999972,75.92,0.46000000000000796
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,275.47671289597787,80.56,80.56,0.0,75.56,0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,117.37038005698813,80.56,80.63,-0.06999999999999318,75.31,-0.14999999999999147
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,24.527275731166203,80.56,80.52,0.04000000000000625,75.4,-0.05999999999998806
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,261.5269669083988,80.56,80.48,0.0799999999999983,75.57,0.10999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,37.58456877390544,80.56,80.43,0.12999999999999545,75.61,0.15000000000000568
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,27.009810951139247,80.56,80.52,0.04000000000000625,75.61,0.15000000000000568
