model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv3,-0.57724660013371,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.downsample.0,-0.19122552360831557,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,-0.1858348421412117,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,-0.3279242181835862,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv3,-0.6320592681954458,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv1,0.0544295977908229,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv2,0.1286102829854494,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv3,-0.32731145243013327,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,0.5227932772770081,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,0.6333334868283491,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv3,0.28176203637969977,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,0.4061475669737167,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,-0.2325647668726556,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,-0.304576813584426,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv3,-0.2512653679125614,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv1,-0.1799248808806384,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv2,-0.39517540214514435,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,-0.2789945951980104,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,-0.03166974831870384,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,-0.08236864467114602,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,-0.2184327696865429,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,0.7652766752244982,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,0.5235389291952917,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,0.1980015381708511,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,0.22973736788464194,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,-0.09290946812196577,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,-0.03798262657360141,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,-0.14009699252721752,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,0.15120612504023256,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,-0.04940247928228114,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,-0.1655285559878248,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,0.4004787096411544,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,0.1562300537150847,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,-0.038812047300075925,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,0.4872720423992618,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,-0.08995026027666331,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,-0.08876285332683853,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,0.446643008751888,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,-0.46852713180653893,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,-0.44233762974675894,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,0.4318223273494377,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,-0.31438781280927763,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,-0.33631094507406356,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,0.4438772444468668,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,0.13224711139304368,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,0.503717926017174,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv3,-0.09091151864624702,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv1,0.17176758718553042,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv2,-0.43651306323544325,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv3,-0.6479511287380566,1.0
resnet50_no_weights,CIFAR10,fp32_fused,fc,-0.3008676356443303,1.0
resnet50_no_weights,CIFAR10,ptq,conv1,1.9210937174250817,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv1,0.0868847031083888,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv2,1.0500281422785727,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv3,0.17796176157851118,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.downsample.0,-0.17109954563450192,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv1,0.6916830604911208,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv2,0.2762341312192098,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv3,-0.45846144474647677,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv1,0.45196730202556346,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv2,-0.21378286520419287,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv3,-0.524972063000007,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv1,0.6632329741081437,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv2,0.21175554297031063,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv3,-0.42503575825133577,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.downsample.0,-0.08227009937569729,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv1,-0.33622496973791627,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv2,-0.4766311661499705,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv3,-0.5241072612212969,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv1,-0.2943480874170312,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv2,-0.6515385903977977,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv3,-0.637720738673095,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv1,-0.3293193560403056,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv2,-0.8262013928457845,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv3,-0.9401538012527801,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv1,-0.3275949110781191,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv2,-0.007503723552751751,1.0
