quantity,old_value,old_source,canonical_value,ratio,explained_by_knob,note
resnet50_conv1_fp32,13.87,prior run notes (unspecified estimator config),14.594571766083833,0.9503533383714856,UNRESOLVED (no knob reproduced this anchor within tolerance -- see drift_diagnosis.csv for closest residuals),"closer to the UNFUSED basis (unfused conv1=14.59, residual 5.0%) than to canonical basis=fused (conv1=200.5, residual 93.1%); fusion_ratio=13.7"
resnet50_conv1_fp32,11.79,"prior run notes (unspecified estimator config), second run",14.594571766083833,0.8078345969286096,fp32:basis=unfused (residual 0.07%),"closer to the UNFUSED basis (unfused conv1=14.59, residual 19.2%) than to canonical basis=fused (conv1=200.5, residual 94.1%); fusion_ratio=13.7"
resnet50_conv1_ptq,13161.8,"original src/main.py pipeline run, layerwise_hessian_traces.csv (PTQ stage)",1158.2058033636267,11.36395618272322,UNRESOLVED (no knob reproduced this anchor within tolerance -- see drift_diagnosis.csv for closest residuals),
resnet50_conv1_ptq,1030.9,a later/fresh run's notes,1158.2058033636267,0.8900836077716854,ptq:probe_count=smaller_maxIter=20 (residual 1.99%),
resnet50_conv1_elevation_fp32,14.0,prior 'conv1 14x' claim,13.534574970507153,1.0343878570628957,UNRESOLVED (no knob reproduced this anchor within tolerance -- see drift_diagnosis.csv for closest residuals),"elevation = conv1_trace / median(all-layer trace), fused basis"
