model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,0.0023173994850367308,4.006245748698584
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,0.0007333533139899373,2.41231226994095
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,0.00017909133748617023,13.624566273132825
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,0.0013682025019079447,3.274711120989454
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,0.0006592682329937816,3.997936508867419
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,0.000798767083324492,2.3422665262298503
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,0.00019348364730831236,13.879687508955602
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,0.0007339261937886477,4.058588758496761
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,0.0004936683690175414,3.488340083271294
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,0.00011288664973108098,13.807814441417168
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,0.0005066313315182924,3.4826911043051414
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,0.00022567894484382123,3.96317889378295
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,5.557804979616776e-05,13.816271493460015
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.00026440693181939423,3.886978073090419
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,0.00027515238616615534,3.9389365805202914
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.000237172469496727,2.673461372183011
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,4.36790578532964e-05,14.289754266531583
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,0.00041991614853031933,2.62859038247296
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,0.0001535930496174842,2.8559134158640918
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,1.5564242858090438e-05,13.583229641270801
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,0.00013082035002298653,5.701216109153165
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,4.123160761082545e-05,6.971248621244928
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,1.2168522516731173e-05,13.305586281593538
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,4.243205694365315e-05,8.962296932667925
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,1.398145923303673e-05,9.145294450665492
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,9.444725947105326e-06,13.006153175078762
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,1.7728634702507406e-05,7.4185525925003395
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,2.2807340428698808e-05,8.976395376206096
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,1.0684180779207963e-05,8.519751255619529
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,6.652420779573731e-06,12.648710973286683
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,2.550724457250908e-05,8.77966051307781
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,1.3937487892690115e-05,7.834253095658959
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,6.599606876989128e-06,12.637072908975115
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,3.650193684734404e-05,7.701621284693641
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,1.1180854016856756e-05,9.439783595310864
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,6.95091375746415e-06,12.738751614901505
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,3.5360710171516985e-05,7.442849412619333
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,1.5359773897216655e-05,6.53070648092198
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,5.439067535917275e-06,12.166343457739163
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,3.43923456966877e-05,7.2839422717232125
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,2.0550296540022828e-05,3.915441330772136
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,4.714059286925476e-06,11.565497273401844
