model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,14.139912585417429,0.008182819783227678,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,13.2882023027965,0.0076899318881924195,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,16.35560041003757,0.009465046533586556,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,14.594571766083833,0.008445932735002219,1.0194842601182066,128.53140263610857,0.29455040615278455,0.3657531670558129,aggregate,3,1.5834358259808667
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,3.5511611323607597,0.0008669826983302636,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,4.791814982891083,0.0011698767048073933,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,4.06581972195552,0.0009926317680555468,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,4.136265279069121,0.0010098303903977345,0.28893327020967613,15.36774215173238,0.29455040615278455,0.3657531670558129,aggregate,3,0.6233196825038606
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,4.2610045180601235,0.00011558714512966915,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,4.193192092995894,0.00011374761536989731,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,3.3185694879955716,9.002195876724098e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,3.92425536635053,0.00010645223975560249,0.2741236017610324,1.6200052876148456,0.29455040615278455,0.3657531670558129,aggregate,3,0.5256340634673858
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.977858986173357,0.00018175408851155744,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.777326354613671,0.0001695145480110883,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.8516866435175356,0.00017405313986313084,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.868957328101521,0.00017510725879525885,0.20040717095566513,2.664807107857315,0.29455040615278455,0.3657531670558129,aggregate,3,0.1013757440888246
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,19.757224082946777,0.0012058852589689195,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,15.814886591651224,0.0009652640741974624,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,16.269524657207988,0.0009930129795659172,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,17.280545110601995,0.0010547207709107663,1.2071093300224054,16.050890331245686,0.29455040615278455,0.3657531670558129,aggregate,3,2.1568792251084434
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.6021363638168156,0.00015882179954936618,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.297819438970314,0.00014024776849184045,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.8359072625637056,0.00017309004288108555,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.578621021783612,0.0001573865369740974,0.18012611720663893,2.395130649038397,0.29455040615278455,0.3657531670558129,aggregate,3,0.26981355591977246
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,conv,36864,3.508905839920044,9.518516275824772e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,conv,36864,3.528678166238885,9.57215214366017e-05,,,,,43,3,
