model,dataset,stage,backend,num_threads,fp32_acc,int8_acc,acc_delta,fp32_size_mb,int8_size_mb,size_reduction_x,conv_quantized,linear_quantized,eval_subset_batches
cnn,CIFAR10,PTQ,fbgemm,16,66.22,65.8,-0.4200000000000017,5.528807640075684,1.419846534729004,3.8939473420843527,True,True,
cnn,CIFAR10,QAT,fbgemm,16,85.3,85.08,-0.21999999999999886,5.528807640075684,1.419846534729004,3.8939473420843527,True,True,
resnet18_no_weights,CIFAR10,PTQ,fbgemm,16,82.43,81.84,-0.5900000000000034,42.62131214141846,10.783049583435059,3.952621362967059,True,True,
resnet18_no_weights,CIFAR10,QAT,fbgemm,16,90.54,90.59,0.04999999999999716,42.62131214141846,10.783049583435059,3.952621362967059,True,True,
resnet50_no_weights,CIFAR10,PTQ,fbgemm,16,75.46,25.08,-50.379999999999995,89.85062313079834,22.995654106140137,3.907287121126381,True,True,
resnet50_no_weights,CIFAR10,QAT,fbgemm,16,84.44,83.99,-0.45000000000000284,89.85062313079834,22.995654106140137,3.907287121126381,True,True,
