model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,IMAGENET100,PTQ,conv1.weight,0.0028355391696095467,2.4764458165136314
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,0.00045391646563075483,7.358531353593296
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,4.375876596895978e-05,8.658758339409573
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv3.weight,1.9943017832702026e-05,13.481978076427005
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.downsample.0.weight,0.000475099979666993,3.077949063752268
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,3.0364135454874486e-05,1.7388408519707808
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,0.00029087529401294887,-9.145085286837377
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv3.weight,1.6059631889220327e-05,-1.22604679706475
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv1.weight,3.3633954444667324e-05,2.1540778752082166
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv2.weight,3.0398339731618762e-05,-0.35070221627683756
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv3.weight,1.5556881407974288e-05,-3.876094023790511
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,0.00020321844203863293,-0.6998776104253337
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,0.0001054195236065425,0.7202931968009662
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv3.weight,1.4291066690930165e-05,11.68113506021082
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,0.00011735004227375612,1.4285384398243648
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,2.8410180675564334e-05,2.3701017114765
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,0.00012779890676029027,-3.7221720663292643
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv3.weight,1.3056400348432362e-05,6.9214213667670865
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv1.weight,5.8745274145621806e-05,1.8354217464436102
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv2.weight,0.00016628846060484648,-2.3161089874715173
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv3.weight,1.0840929462574422e-05,10.524365649590294
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv1.weight,7.142985850805417e-05,2.256775747156686
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv2.weight,0.0001747618953231722,-2.391637916400235
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv3.weight,1.1149788406328298e-05,9.586701667374008
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,0.00020036680507473648,1.1554901738108803
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,9.18574005481787e-05,0.6404844627859616
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv3.weight,1.211700146086514e-05,11.145615295849478
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,0.00018532617832534015,-3.233088348885555
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,1.2044098184560426e-05,3.1684631588364907
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,1.5316991266445257e-05,1.2675414940093823
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv3.weight,9.886057341645937e-06,5.3081956190061845
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv1.weight,1.243289534613723e-05,3.9161235704003303
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv2.weight,2.2292553694569506e-05,0.032082285994001626
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv3.weight,9.337268238596153e-06,6.443818147359517
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv1.weight,2.184325421694666e-05,4.651027552251068
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv2.weight,5.66134367545601e-05,0.18891441665911754
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv3.weight,7.295182967936853e-06,11.259037019009245
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv1.weight,4.031011485494673e-05,3.5630042531474
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv2.weight,0.0001033138541970402,-2.165509432485134
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv3.weight,6.56858719594311e-06,11.535652662071847
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv1.weight,7.574706251034513e-05,1.319250117426134
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv2.weight,0.00014976478996686637,-3.3976709647562444
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv3.weight,6.072097676224075e-06,11.467707162405853
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,0.0003092134138569236,-1.7402072756966742
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,0.0001047368350555189,-1.6219966269079633
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv3.weight,6.3624183894717135e-06,12.34936046789291
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,0.00012030052312184125,-4.127639622899118
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,9.628551924834028e-05,-2.926737959267836
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv2.weight,6.025225593475625e-05,-1.3245567785369055
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv3.weight,5.25517862115521e-06,11.50444188503675
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv1.weight,0.000978589989244938,-7.683919814062632
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv2.weight,0.000191324288607575,-4.679107316544448
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv3.weight,6.699990990455262e-06,9.083269668405178
resnet50_no_weights,IMAGENET100,PTQ,fc.weight,5.893477282370441e-05,13.770357456876798
resnet50_no_weights,IMAGENET100,QAT,conv1.weight,0.0028082269709557295,2.5184802646692317
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv1.weight,0.0004570985329337418,7.328192448240487
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv2.weight,4.360246020951308e-05,8.674299055634
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv3.weight,2.006691283895634e-05,13.455081209257454
resnet50_no_weights,IMAGENET100,QAT,layer1.0.downsample.0.weight,0.0004732926026917994,3.0945020147535245
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv1.weight,3.0542403692379594e-05,1.713417922342504
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv2.weight,0.00028753001242876053,-9.094848765288152
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv3.weight,1.6063904695329256e-05,-1.227202121990702
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv1.weight,3.4513410355430096e-05,2.0419784401557535
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv2.weight,3.0398427043110132e-05,-0.3507146902621896
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv3.weight,1.5557689039269462e-05,-3.8763194807452073
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv1.weight,0.00020315479196142405,-0.6985171429920589
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv2.weight,0.00010548003774601966,0.7178009244221377
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv3.weight,1.4303087482403498e-05,11.677483569993012
resnet50_no_weights,IMAGENET100,QAT,layer2.0.downsample.0.weight,0.00011713404092006385,1.4365396841944436
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv1.weight,2.8518916224129498e-05,2.3535114935645676
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv2.weight,0.00012767470616381615,-3.717949349366056
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv3.weight,1.3042479622527026e-05,6.926054282068304
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv1.weight,5.8362988056614995e-05,1.8637759078966125
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv2.weight,0.00016614343621768057,-2.3123197424751645
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv3.weight,1.0856649168999866e-05,10.518072797223589
resnet50_no_weights,IMAGENET100,QAT,layer2.3.conv1.weight,7.130741141736507e-05,2.264226934766462
resnet50_no_weights,IMAGENET100,QAT,layer2.3.conv2.weight,0.0001743947359500453,-2.3825041733050054
resnet50_no_weights,IMAGENET100,QAT,layer2.3.conv3.weight,1.1173880011483561e-05,9.577327889690878
resnet50_no_weights,IMAGENET100,QAT,layer3.0.conv1.weight,0.000200330963707529,1.1562671039191204
resnet50_no_weights,IMAGENET100,QAT,layer3.0.conv2.weight,9.163618233287707e-05,0.6509560983864798
resnet50_no_weights,IMAGENET100,QAT,layer3.0.conv3.weight,1.214310213981662e-05,11.13627041801822
resnet50_no_weights,IMAGENET100,QAT,layer3.0.downsample.0.weight,0.00018496712436899543,-3.224666095516003
resnet50_no_weights,IMAGENET100,QAT,layer3.1.conv1.weight,1.2077772225893568e-05,3.1563376813460637
resnet50_no_weights,IMAGENET100,QAT,layer3.1.conv2.weight,1.5290015653590672e-05,1.2751968409518342
