config_name,method,bits,accuracy,inference_time,model_size_mb,drop_percentage
Baseline (Float32),float,32,99.34,7.537923336029053,5.522499084472656,0.0
Affine_PTQ,affine,8,99.3,2.0271129608154297,1.4097251892089844,0.04000000000000625
Symmetric_PTQ,symmetric,8,98.87,2.107841730117798,1.4356470108032227,0.46999999999999886
PoT_PTQ,pot_manual,8,98.85,1.9864003658294678,1.4352102279663086,0.4900000000000091
