model,dataset,stage,layer,eigenvalue
cnn,CIFAR10,FP32,conv1.weight,8.000984191894531
cnn,CIFAR10,FP32,conv2.weight,12.815094947814941
cnn,CIFAR10,FP32,conv3.weight,14.276178359985352
cnn,CIFAR10,FP32,conv4.weight,3.3827342987060547
cnn,CIFAR10,FP32,fc1.weight,0.9007253646850586
cnn,CIFAR10,FP32,fc2.weight,0.8297929763793945
cnn,CIFAR10,PTQ,conv1.weight,66.85067749023438
cnn,CIFAR10,PTQ,conv2.weight,113.3525619506836
cnn,CIFAR10,PTQ,conv3.weight,37.38789367675781
cnn,CIFAR10,PTQ,conv4.weight,1.897147297859192
cnn,CIFAR10,PTQ,fc1.weight,0.9746685028076172
cnn,CIFAR10,PTQ,fc2.weight,0.7986559867858887
cnn,CIFAR10,QAT,conv1.weight,31.490131378173828
cnn,CIFAR10,QAT,conv2.weight,62.00164031982422
cnn,CIFAR10,QAT,conv3.weight,20.17758560180664
cnn,CIFAR10,QAT,conv4.weight,0.889544665813446
cnn,CIFAR10,QAT,fc1.weight,0.5441977381706238
cnn,CIFAR10,QAT,fc2.weight,0.5412329435348511
resnet18_no_weights,CIFAR10,FP32,conv1.weight,1.7223999500274658
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,4.648972034454346
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,6.937015533447266
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,11.25838851928711
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,4.734498023986816
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,8.757726669311523
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,8.382101058959961
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,5.090203285217285
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,6.547765254974365
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,4.330175399780273
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,7.2500386238098145
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,7.61893892288208
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,3.1033873558044434
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,5.988552570343018
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,4.027275085449219
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,3.746847629547119
