epoch,total_s,train_s,val_s
1,3.285,2.703,0.582
2,3.02,2.445,0.575
3,3.141,2.565,0.576
4,3.176,2.587,0.589
5,3.07,2.471,0.599
6,3.017,2.437,0.58
7,3.085,2.501,0.584
8,3.204,2.623,0.58
9,2.885,2.311,0.574
10,3.182,2.6,0.583
11,3.065,2.473,0.592
12,3.338,2.742,0.596
13,3.18,2.604,0.575
14,2.921,2.342,0.579
15,3.121,2.545,0.576
16,2.996,2.416,0.581
17,3.095,2.511,0.584
18,3.321,2.74,0.58
19,3.056,2.47,0.585
20,2.908,2.321,0.586
21,3.113,2.535,0.578
22,3.121,2.536,0.585
23,3.131,2.543,0.587
24,3.149,2.563,0.587
25,2.949,2.365,0.584
26,3.103,2.513,0.589
27,3.049,2.455,0.594
28,3.078,2.491,0.587
29,3.118,2.539,0.578
30,3.172,2.574,0.598
31,2.99,2.402,0.588
32,2.939,2.358,0.581
33,2.976,2.401,0.576
34,2.97,2.39,0.58
35,3.27,2.678,0.592
36,2.935,2.357,0.579
37,3.103,2.523,0.581
38,3.147,2.567,0.58
