epoch,total_s,train_s,val_s
1,3.606,2.712,0.894
2,3.35,2.511,0.839
3,3.272,2.439,0.833
4,3.509,2.674,0.836
5,3.395,2.553,0.842
6,3.435,2.631,0.804
7,3.338,2.508,0.83
8,3.373,2.564,0.809
9,3.367,2.567,0.8
10,3.489,2.688,0.802
11,3.43,2.63,0.8
12,3.476,2.673,0.802
13,3.415,2.544,0.871
14,3.493,2.616,0.877
15,3.546,2.745,0.801
16,3.384,2.564,0.82
17,3.364,2.559,0.806
18,3.565,2.707,0.858
19,3.475,2.656,0.819
20,3.499,2.608,0.891
21,3.446,2.641,0.805
22,3.525,2.717,0.809
23,3.528,2.684,0.844
24,3.49,2.697,0.792
25,3.359,2.545,0.814
26,3.294,2.473,0.821
27,3.533,2.661,0.871
28,3.392,2.6,0.791
29,3.594,2.777,0.817
