model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv3,-0.7896465751545847,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.downsample.0,0.2374831661408452,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,-0.45260025778452473,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,-0.3407579158094127,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv3,-0.6711623849109989,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv1,-0.027591979255059407,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv2,-0.1831591824694363,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv3,-0.4420339714851105,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,0.2225633185538034,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,0.5621728264843195,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv3,0.4714400747963001,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,0.5371569016636113,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,-0.010055232011110249,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,-0.20691367280754314,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv3,-0.15576381327884503,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv1,0.17597981162334886,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv2,-0.23563498928693516,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,-0.292731386262147,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,-0.24243910498613586,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,-1.0028792636382482,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,-0.7000228850371557,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,0.424838488457437,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,0.1629451829459443,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,-0.043901662185482415,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,0.37588417326362755,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,-0.10972594156601012,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,-0.08547433369154689,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,-0.03335542994011309,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,0.18046840328572866,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,0.24422699752455745,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,0.16701847646691448,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,0.44327572469238685,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,0.37736631839947776,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,0.2575888211731048,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,0.45250773405573863,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,0.009173325638626828,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,0.05015823153535948,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,0.2569412318366946,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,-0.4999170760369731,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,-0.21393777084872845,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,0.4548185758198864,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,-0.3034800174778729,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,-0.18142785116648064,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,0.05427317790145292,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,0.32108591181566304,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,0.5482854518233831,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv3,0.008896570392550984,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv1,0.33227404878807665,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv2,-0.6199472635256855,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv3,-0.6707302847605225,1.0
resnet50_no_weights,CIFAR10,fp32_fused,fc,0.019381511549487307,1.0
resnet50_no_weights,CIFAR10,ptq,conv1,1.9148944016003122,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv1,-0.322396046245498,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv2,-0.32426300601601854,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv3,-0.6965202997304876,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.downsample.0,0.28403294999599016,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv1,-0.48239157992460724,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv2,-0.33874335086142215,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv3,-0.5565022095339143,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv1,0.03447637195858899,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv2,-0.21276442006061513,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv3,-0.45919792929652603,1.0
