model,dataset,stage,layer,mse,sqnr
cnn,CIFAR10,PTQ,conv1.weight,0.045059338212013245,4.493623122048543
cnn,CIFAR10,PTQ,conv2.weight,0.003102716989815235,4.774910137282018
cnn,CIFAR10,PTQ,conv3.weight,0.00030370676540769637,11.094869392555282
cnn,CIFAR10,PTQ,conv4.weight,0.0005842723767273128,1.5213299508389522
cnn,CIFAR10,PTQ,fc1.weight,8.367775990336668e-06,10.976438738259777
cnn,CIFAR10,PTQ,fc2.weight,0.00020943795971106738,13.691444837656885
cnn,CIFAR10,QAT,conv1.weight,0.043607570230960846,4.63585232237186
cnn,CIFAR10,QAT,conv2.weight,0.003105994313955307,4.770325211837754
cnn,CIFAR10,QAT,conv3.weight,0.00030467368196696043,11.08106464647788
cnn,CIFAR10,QAT,conv4.weight,0.0005835090996697545,1.5270071613130984
cnn,CIFAR10,QAT,fc1.weight,8.373275704798289e-06,10.973585278665785
cnn,CIFAR10,QAT,fc2.weight,0.00020836522162426263,13.713746499118997
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,0.00977388396859169,3.3076437946486554
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,0.0001264043676201254,8.492726873105749
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,0.00012822594726458192,8.646360678053055
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,0.0003044355835299939,5.098660474360822
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,0.00017896246572490782,6.917158659562064
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,0.00017544420552439988,5.761350292813992
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,6.468909123213962e-05,9.213362439834437
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.0004634428769350052,8.461236768460925
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,9.095780114876106e-05,7.826236056212361
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.00014865653065498918,4.7095789924812514
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,7.230291521409526e-05,6.480581572730136
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,5.433313344838098e-05,6.014219071973325
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,0.00016007837257348,8.263452804107205
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,1.8750382878351957e-05,9.71725108467667
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,0.00010547348210820928,0.6999702128171486
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,5.87298291065963e-06,10.268567522235381
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,1.786166467354633e-05,3.1358881469319084
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,0.0003890492080245167,-0.29361398544825806
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,6.0972461142227985e-06,7.866966173797675
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,4.639743565348908e-05,-2.970056318985686
resnet18_no_weights,CIFAR10,PTQ,fc.weight,0.0003990408149547875,13.67144808749179
resnet18_no_weights,CIFAR10,QAT,conv1.weight,0.009733295999467373,3.3257162751284457
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,0.00012645723472815007,8.49091086834974
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,0.00012873380910605192,8.629193641033268
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,0.0003046145720873028,5.096107852239835
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,0.0001787096553016454,6.9232980360256065
