model,dataset,stage,layer,trace
cnn,CIFAR10,FP32,conv1.weight,58.52557883055314
cnn,CIFAR10,FP32,conv2.weight,165.3897973196847
cnn,CIFAR10,FP32,conv3.weight,212.45294654660108
cnn,CIFAR10,FP32,conv4.weight,55.227736473083496
cnn,CIFAR10,FP32,fc1.weight,12.32915130881376
cnn,CIFAR10,FP32,fc2.weight,4.165428745335546
cnn,CIFAR10,PTQ,conv1.weight,486.54052592432777
cnn,CIFAR10,PTQ,conv2.weight,1255.8461446559174
cnn,CIFAR10,PTQ,conv3.weight,520.8855133056641
cnn,CIFAR10,PTQ,conv4.weight,36.549025535583496
cnn,CIFAR10,PTQ,fc1.weight,20.522970902292354
cnn,CIFAR10,PTQ,fc2.weight,8.526300430297852
cnn,CIFAR10,QAT,conv1.weight,310.7554357777471
cnn,CIFAR10,QAT,conv2.weight,644.973664855957
cnn,CIFAR10,QAT,conv3.weight,254.42239924839564
cnn,CIFAR10,QAT,conv4.weight,15.102083206176758
cnn,CIFAR10,QAT,fc1.weight,11.65683954556783
cnn,CIFAR10,QAT,fc2.weight,4.86258322542364
resnet18_no_weights,CIFAR10,FP32,conv1.weight,14.432140223185222
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,18.708655418888217
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,30.5574852625529
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,54.932005840799086
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,32.68167806926527
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,54.47718360207298
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,51.320214011452414
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,30.386931327081495
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,62.37314300537109
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,41.93848680566858
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,69.17135565621513
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,72.79712442918257
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,25.055702998720367
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,61.14306180230503
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,36.100480715433754
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,39.57821489149524
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,51.84959689053622
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,21.84156894683838
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,34.88253211975098
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,14.370561974389213
resnet18_no_weights,CIFAR10,FP32,fc.weight,3.591528038183848
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,190.67466454756888
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,45.81597366333008
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,51.93639213898603
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,221.24315147399903
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,26.44589918713237
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,189.57933388986896
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,50.32684931547745
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,25.782694816589355
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,168.81673998710437
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,25.08198740822928
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,258.18753985969386
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,46.50677337646484
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,17.674745432535808
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,120.58634255149148
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,17.825733866010392
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,77.21607158495033
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,26.255647800586843
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,7.968938742914507
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,90.9214663872352
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,3.772154355049133
resnet18_no_weights,CIFAR10,PTQ,fc.weight,4.10041481256485
resnet18_no_weights,CIFAR10,QAT,conv1.weight,78.3517144301842
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,27.137991710142657
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,22.691171222262913
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,154.02496927434748
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,16.36458965710231
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,109.15519124811345
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,31.143126169840496
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,15.048238158226013
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,86.88368466025905
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,15.046852159500123
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,185.65784801136363
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,34.21791315078735
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,12.486228455667911
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,65.19284483965706
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,9.044492553262149
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,42.240952809651695
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,16.483383560180663
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,4.865062713623047
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,54.350927670796715
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,2.2791564017534256
resnet18_no_weights,CIFAR10,QAT,fc.weight,3.5225477644375394
resnet50_no_weights,CIFAR10,FP32,conv1.weight,11.63111436367035
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,1.0225959459940592
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,1.184908662523542
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,0.8944944431041849
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,13.249661876309302
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,0.7507751145783592
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,0.9754053571007468
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,1.5427221134305
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,2.9257353210449217
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,4.05270900328954
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,2.2406329214572906
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,6.286649462249544
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,37.245765924453735
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,27.253849983215332
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,18.2785581946373
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,3.54011044104894
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,7.579296425769203
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,6.000110130684049
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,8.788494619829901
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,9.893774926662445
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,6.135504670765089
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,4.313800472962229
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,3.5934066772460938
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,1.7342409023216792
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,23.242656267606296
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,24.48062939392893
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,16.511451464432938
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,36.363736152648926
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,5.103837282761283
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,13.031807626996722
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,14.78046938089224
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,18.53750582745201
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,46.40739481789725
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,23.93438784281413
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,30.392874767905788
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,61.63574473063151
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,28.60499651291791
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,26.49833369255066
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,47.04117047786713
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,17.431452918052674
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv1.weight,20.23451112664264
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv2.weight,18.764246273040772
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv3.weight,9.317381405830384
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,38.66620419242165
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,23.78006230867826
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv3.weight,20.668111729621888
resnet50_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,48.00958941199563
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,47.24858517116971
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,121.52071138707603
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv3.weight,27.14022153966567
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv1.weight,16.861433506011963
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv2.weight,14.556610107421875
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv3.weight,6.18772042498869
resnet50_no_weights,CIFAR10,FP32,fc.weight,5.266018486022949
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,96.30064274714543
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,0.7131751603201816
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,2.231344699859619
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,0.5828769828410859
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,6.22497370368556
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,1.0545927833866429
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,2.126088951315199
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,0.8697212338447571
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,3.285031520551251
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,2.483021338780721
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,0.8813262942590212
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,5.713528563391487
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,35.24865761318722
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,15.053416967391968
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,25.325862604029037
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,6.07524191791361
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,5.833373968417828
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,3.700110912322998
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,9.907285004854202
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,4.598362922668457
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,3.1399244711949277
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,2.664220417418131
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,0.93205752770106
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,1.349866328087259
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,17.325180313803934
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,20.821632232666015
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,10.118679461271867
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,40.75638886860439
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,6.195708884133233
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,10.735897079110146
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,12.032751419964958
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,16.73092004231044
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,29.443281269073488
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,18.21525635719299
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,29.183283540937637
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,39.675784247262136
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,23.583126703898113
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,32.65786337852478
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,18.08907277243478
