model,dataset,stage,layer,eigenvalue
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,21.036996841430664
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,4.448760032653809
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,1.562931776046753
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,11.42104721069336
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,1.0818414688110352
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,4.915058135986328
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,1.8743230104446411
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,0.5456224083900452
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,5.780416488647461
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,0.346651554107666
resnet18_no_weights,CIFAR10,QAT,fc.weight,0.6224144101142883
resnet50_no_weights,CIFAR10,FP32,conv1.weight,5.874197006225586
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,0.34425389766693115
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,0.40829217433929443
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,0.17561717331409454
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,2.5885097980499268
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,0.23874637484550476
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,0.2720195949077606
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,0.2887580394744873
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,1.266597867012024
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,2.425973892211914
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,0.8620651960372925
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,2.5549471378326416
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,15.180682182312012
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,8.594444274902344
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,4.192337989807129
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,1.5639081001281738
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,2.0909271240234375
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,1.9440350532531738
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,3.5516433715820312
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,3.0775575637817383
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,0.9637260437011719
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,1.5099685192108154
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,0.6050479412078857
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,0.3812108039855957
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,8.020160675048828
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,5.110515594482422
