model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
cnn,CIFAR10,PTQ,conv1,-8.831258773803711,8.362850189208984,17.194108963012695,0.06742788106203079,131,1.5482120513916016,2.650066375732422,5.38702917098999,3.479516366086861,11.105784215771909,42,3,
cnn,CIFAR10,PTQ,conv2,-7.689245223999023,4.240601539611816,11.92984676361084,0.04678371176123619,164,0.804348886013031,1.4033734798431396,3.853736400604248,4.791125427805733,14.831681837398067,42,3,
cnn,CIFAR10,PTQ,conv3,-5.000432968139648,3.9216196537017822,8.92205262184143,0.034988440573215485,143,0.5728946924209595,1.0565663576126099,3.2634122371673584,5.696356207066103,15.573634631066824,42,3,
cnn,CIFAR10,PTQ,conv4,-3.2357871532440186,3.3979997634887695,6.633786916732788,0.02601485140621662,124,0.9159169793128967,1.5546832084655762,2.966857433319092,3.2392209122979367,7.242781896793012,42,3,
cnn,CIFAR10,PTQ,fc1,-1.66070556640625,2.8810043334960938,4.541709899902344,0.017810627818107605,93,0.7835889458656311,1.3843531608581543,2.5014920234680176,3.1923523636549236,5.796036204779681,42,3,
cnn,CIFAR10,PTQ,fc2,-7.170403003692627,15.237586975097656,22.407989978790283,0.08787447214126587,82,10.914844512939453,13.963714599609375,14.134288787841797,1.2949601591745736,2.0529829767364807,42,3,
cnn,CIFAR10,PTQ,conv1,-8.831258773803711,8.362850189208984,17.194108963012695,0.06742788106203079,131,1.498915433883667,2.507337808609009,5.827557563781738,3.887849462382695,11.471033371417773,43,3,
cnn,CIFAR10,PTQ,conv2,-7.689245223999023,4.240601539611816,11.92984676361084,0.04678371176123619,164,0.7801357507705688,1.3627030849456787,3.097316265106201,3.9702273124220593,15.292013924278294,43,3,
cnn,CIFAR10,PTQ,conv3,-5.000432968139648,3.9216196537017822,8.92205262184143,0.034988440573215485,143,0.5785084366798401,1.1030683517456055,2.769275426864624,4.786923148014875,15.42251081599887,43,3,
cnn,CIFAR10,PTQ,conv4,-3.2357871532440186,3.3979997634887695,6.633786916732788,0.02601485140621662,124,0.9588725566864014,1.681684136390686,3.444082498550415,3.59180422313077,6.91831971879279,43,3,
cnn,CIFAR10,PTQ,fc1,-1.66070556640625,2.8810043334960938,4.541709899902344,0.017810627818107605,93,0.8141642212867737,1.532171607017517,3.2355587482452393,3.97408614091576,5.578370777242266,43,3,
cnn,CIFAR10,PTQ,fc2,-7.170403003692627,15.237586975097656,22.407989978790283,0.08787447214126587,82,11.631826400756836,17.716533660888672,19.03714942932129,1.6366431868414593,1.9264377928931509,43,3,
cnn,CIFAR10,PTQ,conv1,-8.831258773803711,8.362850189208984,17.194108963012695,0.06742788106203079,131,1.6066529750823975,2.731626033782959,5.459761142730713,3.3982205413404274,10.70181876838145,44,3,
cnn,CIFAR10,PTQ,conv2,-7.689245223999023,4.240601539611816,11.92984676361084,0.04678371176123619,164,0.8233109712600708,1.4477159976959229,3.582659959793091,4.3515270473195065,14.490085982156057,44,3,
cnn,CIFAR10,PTQ,conv3,-5.000432968139648,3.9216196537017822,8.92205262184143,0.034988440573215485,143,0.596509575843811,1.111426830291748,2.932742118835449,4.916504675866851,14.957098734283461,44,3,
