model,dataset,stage,accuracy,precision,recall,f1
cnn,CIFAR10,FP32,81.30000233650208,81.55603408813477,81.30000233650208,81.26077055931091
cnn,CIFAR10,PTQ,71.07999920845032,74.73141551017761,71.07999920845032,71.11964225769043
cnn,CIFAR10,QAT,84.4599962234497,84.41318273544312,84.4599962234497,84.4047486782074
resnet18_no_weights,CIFAR10,FP32,84.17999744415283,84.89339351654053,84.17999744415283,84.0937852859497
resnet18_no_weights,CIFAR10,PTQ,82.76000022888184,83.50555300712585,82.76000022888184,82.6081931591034
resnet18_no_weights,CIFAR10,QAT,90.6000018119812,90.57538509368896,90.6000018119812,90.57952165603638
resnet50_no_weights,CIFAR10,FP32,81.13999366760254,82.0542573928833,81.13999366760254,81.0787558555603
resnet50_no_weights,CIFAR10,PTQ,79.54000234603882,80.37526607513428,79.54000234603882,79.52427268028259
resnet50_no_weights,CIFAR10,QAT,86.64999604225159,86.59664392471313,86.64999604225159,86.57182455062866
