model,dataset,canonical_layer,trace_fp32_unfused,trace_fp32_fused,trace_ptq,trace_fp32_fused_qat,trace_qat,fusion_ratio,ptq_amplification,qat_amplification,elev_ptq,elev_qat,verdict
resnet50_no_weights,CIFAR10,conv1,14.904177879436164,174.49268875044118,97.761784363676,294.31026954005455,100.49613073329732,11.707635950265669,0.5602629259928166,0.34146321462160245,8.80930518676489,11.49194419093667,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.0.conv1,1.0844460400559064,1.2793357360905773,0.8471219571703684,4.4418816979974505,0.7533055077376738,1.1797135946244257,0.6621576598485576,0.16959152876072525,0.07633407982164564,0.08614207124671178,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.0.conv2,1.2296241274582211,3.8570706562863455,2.3538661427495855,5.277946479687061,2.0891610376894323,3.1367883649610615,0.610273016106977,0.39582838623503863,0.21210665655545002,0.2388999643650118,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.0.conv3,0.9097940600517264,0.9064172322658921,0.6839570530684166,1.219034732700144,0.5681756440437201,0.9962883602629343,0.7545719881766125,0.46608650992676753,0.061631305671613,0.06497208145583394,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.0.downsample.0,11.849837062451932,9.648457646474503,6.5400652629558484,8.244503966301352,4.838969701812381,0.8142270307705035,0.677835308252149,0.5869327883874181,0.5893246652333453,0.5533463761151194,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.1.conv1,0.9456274077816703,1.9695838333828168,1.1198440639126972,1.7848100874549602,1.072953958440139,2.082832854859005,0.568568874770531,0.6011586140070015,0.1009090431890625,0.12269454475378386,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.1.conv2,1.0034751243925326,3.4834156599840482,2.2766769854119575,4.986543780858249,2.3023047106606622,3.471352279004207,0.6535760321587298,0.46170349882386985,0.20515114885351585,0.26327339224291774,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.1.conv3,1.3391337624646655,1.1907273900509592,0.9441628812662176,1.4190487506895355,0.6764917737562899,0.8891773349507927,0.7929295060776342,0.4767220107325933,0.08507842835753071,0.07735825899871404,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.2.conv1,2.303353207546567,5.240620958718019,3.6815059279207074,2.943383676415742,2.9507471006856396,2.275213780304282,0.7024942190860702,1.0025016868609071,0.33174015262744844,0.337424145140866,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.2.conv2,4.198950985024373,5.007304858593714,3.042848628131073,2.638888417543112,2.553326902171922,1.192513291165424,0.6076819195277932,0.9675766831206714,0.27419080345975355,0.2919783084868047,fp32_intrinsic
resnet50_no_weights,CIFAR10,layer1.2.conv3,1.9167490066168402,2.0180910536753602,1.1812755168430389,1.4492863514322265,0.7766880639335514,1.0528718401359154,0.5853430224031232,0.5359107005775676,0.10644462563011743,0.08881591579061354,fp32_intrinsic
