model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
resnet18_no_weights,CIFAR10,QAT,cumulative_top_outlier,5,layer3.1.conv1,layer2.1.conv2;layer3.1.conv2;layer4.0.downsample.0;layer4.0.conv2;layer3.1.conv1,5.185542248303809,90.58,90.61,0.030000000000001137
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,1,fc,fc,1.217024807668938,90.58,90.53,-0.04999999999999716
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,2,layer1.1.conv2,fc;layer1.1.conv2,3.760033934298774,90.58,90.56,-0.01999999999999602
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,3,layer2.0.conv1,fc;layer1.1.conv2;layer2.0.conv1,3.9674889702115035,90.58,90.59,0.010000000000005116
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,4,conv1,fc;layer1.1.conv2;layer2.0.conv1;conv1,3.983051312090471,90.58,90.55,-0.030000000000001137
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,5,layer4.1.conv2,fc;layer1.1.conv2;layer2.0.conv1;conv1;layer4.1.conv2,4.05550209837782,90.58,90.56,-0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer4.1.conv3,layer4.1.conv3,25.148913491866264,79.53,79.57,0.03999999999999204
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,2,layer4.2.conv3,layer4.1.conv3;layer4.2.conv3,24.822334189179777,79.53,79.54,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,3,layer4.0.conv3,layer4.1.conv3;layer4.2.conv3;layer4.0.conv3,15.523737351866053,79.53,79.63,0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,4,layer3.0.conv3,layer4.1.conv3;layer4.2.conv3;layer4.0.conv3;layer3.0.conv3,12.34457169056935,79.53,79.63,0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,5,layer1.0.downsample.0,layer4.1.conv3;layer4.2.conv3;layer4.0.conv3;layer3.0.conv3;layer1.0.downsample.0,8.064706018373432,79.53,79.69,0.1599999999999966
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,1,fc,fc,1.4500080112103912,79.53,79.59,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,2,layer1.2.conv1,fc;layer1.2.conv1,2.8146479016780774,79.53,79.85,0.3199999999999932
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,3,layer1.1.conv3,fc;layer1.2.conv1;layer1.1.conv3,2.9353458175554676,79.53,79.77,0.23999999999999488
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,4,layer1.0.conv1,fc;layer1.2.conv1;layer1.1.conv3;layer1.0.conv1,3.0286829474246577,79.53,79.81,0.28000000000000114
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,5,conv1,fc;layer1.2.conv1;layer1.1.conv3;layer1.0.conv1;conv1,3.083628964595275,79.53,79.58,0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,1,layer4.1.conv3,layer4.1.conv3,25.755336449505165,86.66,86.6,-0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,2,layer4.2.conv3,layer4.1.conv3;layer4.2.conv3,19.266565886332565,86.66,86.61,-0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,3,layer4.0.conv3,layer4.1.conv3;layer4.2.conv3;layer4.0.conv3,16.510031691086727,86.66,86.53,-0.12999999999999545
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,4,layer3.0.conv3,layer4.1.conv3;layer4.2.conv3;layer4.0.conv3;layer3.0.conv3,11.28334100127221,86.66,86.5,-0.1599999999999966
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,5,layer1.0.downsample.0,layer4.1.conv3;layer4.2.conv3;layer4.0.conv3;layer3.0.conv3;layer1.0.downsample.0,8.074056824577088,86.66,86.65,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,1,fc,fc,1.2745591492473936,86.66,86.52,-0.14000000000000057
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,2,layer1.2.conv1,fc;layer1.2.conv1,2.614041123505314,86.66,86.55,-0.10999999999999943
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,3,conv1,fc;layer1.2.conv1;conv1,2.8188752014116134,86.66,86.59,-0.06999999999999318
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,4,layer1.2.conv2,fc;layer1.2.conv1;conv1;layer1.2.conv2,3.0518324719002954,86.66,86.68,0.020000000000010232
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,5,layer1.0.conv1,fc;layer1.2.conv1;conv1;layer1.2.conv2;layer1.0.conv1,3.1958664039257414,86.66,86.64,-0.01999999999999602
