model,dataset,stage,accuracy,precision,recall,f1
cnn,IMAGENET100,FP32,19.420000910758972,22.533023357391357,19.420000910758972,17.52050817012787
resnet18_no_weights,IMAGENET100,FP32,41.5800005197525,45.459213852882385,41.5800005197525,39.53881561756134
resnet50_no_weights,IMAGENET100,FP32,20.739999413490295,24.730372428894043,20.739999413490295,18.6833918094635
cnn,CIFAR10,FP32,64.09000158309937,66.24046564102173,64.09000158309937,64.4956886768341
resnet18_no_weights,CIFAR10,FP32,68.55000257492065,70.55068016052246,68.55000257492065,68.5315728187561
resnet50_no_weights,CIFAR10,FP32,45.35999894142151,46.96081578731537,45.35999894142151,43.627381324768066
