model,dataset,stage,layer,eigenvalue
cnn,IMAGENET100,FP32,conv1.weight,7.725859069824219
cnn,IMAGENET100,FP32,conv2.weight,51.34485015869141
cnn,IMAGENET100,FP32,conv3.weight,18.9292236328125
cnn,IMAGENET100,FP32,conv4.weight,2.4749526262283323
cnn,IMAGENET100,FP32,fc1.weight,0.8294070601463318
cnn,IMAGENET100,FP32,fc2.weight,0.5630742073059082
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,34.20238189697265
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,9.510381698608398
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,3.3389219760894777
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,5.786575031280518
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,1.0203513026237487
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,12.01277847290039
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,3.2666242122650146
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,9.544587516784668
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,2.7416751861572264
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,5.130230903625488
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,9.081727600097656
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,4.369896745681762
resnet18_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,3.705668592453003
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,5.634087371826172
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv2.weight,2.8427802324295044
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv1.weight,5.268855905532837
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv2.weight,3.3044623374938964
resnet18_no_weights,IMAGENET100,FP32,layer4.0.downsample.0.weight,2.955914783477783
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv1.weight,3.007808542251587
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv2.weight,1.1098299741744995
resnet18_no_weights,IMAGENET100,FP32,fc.weight,0.7911261945962906
resnet50_no_weights,IMAGENET100,FP32,conv1.weight,23.775859832763672
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,9.415017700195312
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,5.6463902473449705
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv3.weight,1.3319928288459777
