model,dataset,stage,layer,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts,fp32_loss,isolated_loss,loss_damage,abs_loss_damage
resnet18_no_weights,CIFAR10,PTQ,conv1,84.18,83.75,0.4300000000000068,0.4300000000000068,0.483115202331543,0.49650818004608155,0.013392977714538568,0.013392977714538568
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,84.18,84.16,0.020000000000010232,0.020000000000010232,0.483115202331543,0.4812722166061401,-0.001842985725402868,0.001842985725402868
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,84.18,83.63,0.5500000000000114,0.5500000000000114,0.483115202331543,0.5004233957290649,0.01730819339752193,0.01730819339752193
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,84.18,83.4,0.7800000000000011,0.7800000000000011,0.483115202331543,0.5120089967727661,0.028893794441223142,0.028893794441223142
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,84.18,84.04,0.14000000000000057,0.14000000000000057,0.483115202331543,0.49023326978683474,0.0071180674552917544,0.0071180674552917544
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,84.18,84.33,-0.14999999999999147,0.14999999999999147,0.483115202331543,0.4747369146347046,-0.008378287696838405,0.008378287696838405
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,84.18,84.44,-0.2599999999999909,0.2599999999999909,0.483115202331543,0.473426508140564,-0.009688694190979008,0.009688694190979008
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,84.18,84.07,0.11000000000001364,0.11000000000001364,0.483115202331543,0.4911864860534668,0.008071283721923839,0.008071283721923839
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,84.18,84.22,-0.03999999999999204,0.03999999999999204,0.483115202331543,0.48075673942565916,-0.002358462905883818,0.002358462905883818
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,84.18,84.01,0.1700000000000017,0.1700000000000017,0.483115202331543,0.4867959988594055,0.0036807965278625177,0.0036807965278625177
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,84.18,84.05,0.13000000000000966,0.13000000000000966,0.483115202331543,0.4888217966079712,0.005706594276428223,0.005706594276428223
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,84.18,84.24,-0.05999999999998806,0.05999999999998806,0.483115202331543,0.4811760863304138,-0.0019391160011291708,0.0019391160011291708
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,84.18,84.23,-0.04999999999999716,0.04999999999999716,0.483115202331543,0.47895719509124757,-0.004158007240295414,0.004158007240295414
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,84.18,84.21,-0.029999999999986926,0.029999999999986926,0.483115202331543,0.47743289661407473,-0.00568230571746825,0.00568230571746825
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,84.18,84.17,0.010000000000005116,0.010000000000005116,0.483115202331543,0.4822722176551819,-0.0008429846763610693,0.0008429846763610693
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,84.18,84.1,0.0800000000000125,0.0800000000000125,0.483115202331543,0.4833572781562805,0.00024207582473750877,0.00024207582473750877
