Modell,Schicht,Vorhergesagt,Gemessen,Verhältnis,log10(Verhältnis)
ResNet-50,conv1,3.716491530025207e-09,0.0565751066919421,15222719.124980323,7.182492234267691
ResNet-50,fc,1.3186976252329758e-07,0.0003306138647002,2507.124138043322,3.3991758381993304
ResNet-18,layer1.1.conv1,3.4634674366832505e-11,0.0068900514293088,198935071.72416145,8.298711354836666
CNN,conv1,3.630081553766353e-09,0.6135614423508782,169021393.3938437,8.227941677660288
CNN,conv2,2.3276691145492035e-09,0.068939705079759,29617484.99769498,7.471548177142765
