model,dataset,stage,accuracy,precision,recall,f1
cnn,IMAGENET100,FP32,49.19999837875366,55.72633743286133,49.19999837875366,48.588764667510986
cnn,IMAGENET100,PTQ,14.640000462532043,37.28678524494171,14.640000462532043,14.794878661632538
cnn,IMAGENET100,QAT,55.68000078201294,56.110697984695435,55.68000078201294,55.010294914245605
resnet18_no_weights,IMAGENET100,FP32,80.40000200271606,80.97426891326904,80.40000200271606,80.24516105651855
resnet18_no_weights,IMAGENET100,PTQ,70.4800009727478,74.37734603881836,70.4800009727478,70.5297589302063
resnet18_no_weights,IMAGENET100,QAT,82.73999691009521,82.8611671924591,82.73999691009521,82.6032042503357
resnet50_no_weights,IMAGENET100,FP32,80.70000410079956,81.08368515968323,80.70000410079956,80.3178608417511
resnet50_no_weights,IMAGENET100,PTQ,70.98000049591064,74.94015693664551,70.98000049591064,71.32269144058228
resnet50_no_weights,IMAGENET100,QAT,83.93999934196472,84.03770327568054,83.93999934196472,83.76147747039795
