model,dataset,stage,layer,eigenvalue
cnn,IMAGENET100,FP32,conv1.weight,85.52633666992188
cnn,IMAGENET100,FP32,conv2.weight,77.37921142578125
cnn,IMAGENET100,FP32,conv3.weight,202.1079864501953
cnn,IMAGENET100,FP32,conv4.weight,28.56570053100586
cnn,IMAGENET100,FP32,fc1.weight,13.877618789672852
cnn,IMAGENET100,FP32,fc2.weight,8.989959716796875
cnn,IMAGENET100,PTQ,conv1.weight,375.7280578613281
cnn,IMAGENET100,PTQ,conv2.weight,1353.1263427734375
cnn,IMAGENET100,PTQ,conv3.weight,373.1756896972656
cnn,IMAGENET100,PTQ,conv4.weight,4.042351722717285
cnn,IMAGENET100,PTQ,fc1.weight,68.10859680175781
cnn,IMAGENET100,PTQ,fc2.weight,97.91046142578125
cnn,IMAGENET100,QAT,conv1.weight,25.561477661132812
cnn,IMAGENET100,QAT,conv2.weight,349.4288024902344
cnn,IMAGENET100,QAT,conv3.weight,233.98101806640625
cnn,IMAGENET100,QAT,conv4.weight,1.2917282581329346
cnn,IMAGENET100,QAT,fc1.weight,11.8697509765625
cnn,IMAGENET100,QAT,fc2.weight,9.275830268859863
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,19.54694175720215
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,31.365398406982422
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,12.58920955657959
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,11.620267868041992
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,8.64749813079834
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,46.63656997680664
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,29.171924591064453
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,24.93454360961914
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,17.353172302246094
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,14.11046314239502
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,44.143836975097656
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,50.420265197753906
resnet18_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,6.946231842041016
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,26.469161987304688
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv2.weight,28.8302001953125
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv1.weight,64.48821258544922
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv2.weight,70.48835754394531
resnet18_no_weights,IMAGENET100,FP32,layer4.0.downsample.0.weight,14.78555679321289
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv1.weight,56.927894592285156
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv2.weight,14.157674789428711
resnet18_no_weights,IMAGENET100,FP32,fc.weight,1.8504416942596436
resnet18_no_weights,IMAGENET100,PTQ,conv1.weight,585.4114990234375
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,74.55564880371094
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,9.322101593017578
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,30.79132652282715
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,3.1068902015686035
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,202.5458984375
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,6.32404088973999
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,16.88350486755371
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,18.12816619873047
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,3.254697799682617
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,32.7210807800293
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,11.817610740661621
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,2.833099842071533
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,33.787109375
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,6.936831951141357
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,31.403106689453125
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,4.577658653259277
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,2.195943832397461
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,10.36493968963623
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv2.weight,0.030512701719999313
resnet18_no_weights,IMAGENET100,PTQ,fc.weight,1.2722530364990234
resnet18_no_weights,IMAGENET100,QAT,conv1.weight,300.11236572265625
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv1.weight,112.90947723388672
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv2.weight,11.49226188659668
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv1.weight,36.63636016845703
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv2.weight,3.732800245285034
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv1.weight,167.02076721191406
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv2.weight,5.908883094787598
resnet18_no_weights,IMAGENET100,QAT,layer2.0.downsample.0.weight,17.966815948486328
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv1.weight,17.909008026123047
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv2.weight,4.484887599945068
resnet18_no_weights,IMAGENET100,QAT,layer3.0.conv1.weight,55.33652114868164
resnet18_no_weights,IMAGENET100,QAT,layer3.0.conv2.weight,16.445171356201172
resnet18_no_weights,IMAGENET100,QAT,layer3.0.downsample.0.weight,3.4420382976531982
resnet18_no_weights,IMAGENET100,QAT,layer3.1.conv1.weight,33.16191482543945
resnet18_no_weights,IMAGENET100,QAT,layer3.1.conv2.weight,6.715592384338379
resnet18_no_weights,IMAGENET100,QAT,layer4.0.conv1.weight,48.27978515625
resnet18_no_weights,IMAGENET100,QAT,layer4.0.conv2.weight,7.903952121734619
resnet18_no_weights,IMAGENET100,QAT,layer4.0.downsample.0.weight,3.3679213523864746
resnet18_no_weights,IMAGENET100,QAT,layer4.1.conv1.weight,24.37432289123535
resnet18_no_weights,IMAGENET100,QAT,layer4.1.conv2.weight,0.06386534869670868
resnet18_no_weights,IMAGENET100,QAT,fc.weight,2.8838491439819336
resnet50_no_weights,IMAGENET100,FP32,conv1.weight,180.33718872070312
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,38.154720306396484
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,17.806514739990234
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv3.weight,25.721830368041992
resnet50_no_weights,IMAGENET100,FP32,layer1.0.downsample.0.weight,66.03401184082031
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,6.319159030914307
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,6.431207180023193
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv3.weight,2.551137924194336
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv1.weight,1.6773360967636108
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv2.weight,1.8141179084777832
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv3.weight,1.9092299938201904
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,6.60235071182251
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,18.654796600341797
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv3.weight,6.330251216888428
resnet50_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,18.887191772460938
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,2.72229266166687
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,6.314903259277344
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv3.weight,3.0574629306793213
resnet50_no_weights,IMAGENET100,FP32,layer2.2.conv1.weight,1.9713727235794067
resnet50_no_weights,IMAGENET100,FP32,layer2.2.conv2.weight,2.3792970180511475
resnet50_no_weights,IMAGENET100,FP32,layer2.2.conv3.weight,4.041663646697998
resnet50_no_weights,IMAGENET100,FP32,layer2.3.conv1.weight,7.673187732696533
resnet50_no_weights,IMAGENET100,FP32,layer2.3.conv2.weight,7.775665760040283
resnet50_no_weights,IMAGENET100,FP32,layer2.3.conv3.weight,3.3745126724243164
resnet50_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,37.10169982910156
resnet50_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,27.395511627197266
resnet50_no_weights,IMAGENET100,FP32,layer3.0.conv3.weight,18.384098052978516
resnet50_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,47.53352355957031
resnet50_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,1.4170632362365723
resnet50_no_weights,IMAGENET100,FP32,layer3.1.conv2.weight,11.564704895019531
resnet50_no_weights,IMAGENET100,FP32,layer3.1.conv3.weight,6.991564750671387
resnet50_no_weights,IMAGENET100,FP32,layer3.2.conv1.weight,6.163506507873535
resnet50_no_weights,IMAGENET100,FP32,layer3.2.conv2.weight,9.9105224609375
resnet50_no_weights,IMAGENET100,FP32,layer3.2.conv3.weight,9.641609191894531
resnet50_no_weights,IMAGENET100,FP32,layer3.3.conv1.weight,5.222362041473389
resnet50_no_weights,IMAGENET100,FP32,layer3.3.conv2.weight,10.314610481262207
resnet50_no_weights,IMAGENET100,FP32,layer3.3.conv3.weight,11.344197273254395
resnet50_no_weights,IMAGENET100,FP32,layer3.4.conv1.weight,10.381570816040039
resnet50_no_weights,IMAGENET100,FP32,layer3.4.conv2.weight,13.368223190307617
resnet50_no_weights,IMAGENET100,FP32,layer3.4.conv3.weight,8.31590747833252
resnet50_no_weights,IMAGENET100,FP32,layer3.5.conv1.weight,12.360940933227539
resnet50_no_weights,IMAGENET100,FP32,layer3.5.conv2.weight,14.854202270507812
resnet50_no_weights,IMAGENET100,FP32,layer3.5.conv3.weight,10.013609886169434
resnet50_no_weights,IMAGENET100,FP32,layer4.0.conv1.weight,73.09686279296875
resnet50_no_weights,IMAGENET100,FP32,layer4.0.conv2.weight,52.10316467285156
resnet50_no_weights,IMAGENET100,FP32,layer4.0.conv3.weight,55.9981575012207
resnet50_no_weights,IMAGENET100,FP32,layer4.0.downsample.0.weight,66.91863250732422
resnet50_no_weights,IMAGENET100,FP32,layer4.1.conv1.weight,27.609649658203125
resnet50_no_weights,IMAGENET100,FP32,layer4.1.conv2.weight,44.95266342163086
resnet50_no_weights,IMAGENET100,FP32,layer4.1.conv3.weight,46.44721984863281
resnet50_no_weights,IMAGENET100,FP32,layer4.2.conv1.weight,111.220947265625
resnet50_no_weights,IMAGENET100,FP32,layer4.2.conv2.weight,107.22282409667969
