model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts
resnet18_no_weights,CIFAR10,PTQ,conv1,199.2473040989467,0.4169048070907593,0.0002412643559553005,83.06715887872522,83.67,83.38,0.29000000000000625
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,135.80439597681948,0.8474072813987732,2.2987393701138597e-05,115.08163399671909,83.67,82.86,0.8100000000000023
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,80.34887218475342,1.7678110599517822,4.795494411761562e-05,142.0416249028592,83.67,83.58,0.09000000000000341
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,176.6143580845424,0.4165361523628235,1.1299266285883883e-05,73.56626516856522,83.67,83.75,-0.0799999999999983
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,34.157021454402376,1.3706066608428955,3.718008520081639e-05,46.81584111995758,83.67,83.73,-0.060000000000002274
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,200.413942972819,0.7236326336860657,9.814895747695118e-06,145.02606938083,83.67,83.76,-0.09000000000000341
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,47.69405388832092,4.373281955718994,2.9658216388068264e-05,208.57954526488322,83.67,83.75,-0.0799999999999983
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,20.614185900301543,2.3012070655822754,0.00028090906562283635,47.43751024500043,83.67,83.69,-0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,132.14743309020997,1.255570650100708,8.514883423534533e-06,165.92043847421476,83.67,83.53,0.14000000000000057
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,26.777606836954757,4.396254539489746,2.981400919250316e-05,117.72117561363402,83.67,83.86,-0.18999999999999773
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,151.25545692443848,1.7366859912872314,5.8888278241890175e-06,262.68323314642157,83.67,83.62,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,42.21270254383917,7.101097583770752,1.203935001588737e-05,299.75652003848984,83.67,83.71,-0.03999999999999204
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,10.583319425582886,3.6403043270111084,0.00011109327169833705,38.5265034990901,83.67,83.85,-0.1799999999999926
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,79.9299799601237,2.943631410598755,4.990694530230637e-06,235.28439965914913,83.67,83.68,-0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,20.34336135500953,6.809089660644531,1.1544273648824957e-05,138.5197714651509,83.67,83.74,-0.06999999999999318
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,58.258108901977536,4.963468074798584,4.2075840206558096e-06,289.1622636331047,83.67,83.56,0.10999999999999943
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,74.90457700646442,9.981365203857422,4.230654061151047e-06,747.6499385419827,83.67,83.47,0.20000000000000284
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,23.89675796031952,4.7854509353637695,3.651009319582954e-05,114.35676273337265,83.67,83.71,-0.03999999999999204
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,106.80278778076172,10.647353172302246,4.5129365591694496e-06,1137.1670012882169,83.67,83.57,0.10000000000000853
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,7.590441094504462,19.031986236572266,8.06680731734054e-06,144.46117044012144,83.67,83.59,0.0799999999999983
resnet18_no_weights,CIFAR10,PTQ,fc,5.131800732961515,2.1076712608337402,0.0004116545431315899,10.816148921188509,83.67,84.07,-0.3999999999999915
resnet50_no_weights,CIFAR10,PTQ,conv1,125.56843499077692,0.1727171540260315,9.995205672802749e-05,21.68782272710974,80.21,79.54,0.6699999999999875
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,9.723207892203815,0.5451216697692871,0.00013308634515851736,5.300331321712054,80.21,80.11,0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,70.6675028624358,0.942541241645813,2.556806753596498e-05,66.60703589196928,80.21,79.69,0.519999999999996
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,23.583237274833348,1.7430322170257568,0.00010638624371495098,41.10634235179724,80.21,79.9,0.30999999999998806
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,26.178875037602012,1.62294340133667,9.905660408549011e-05,42.48683249669345,80.21,80.17,0.03999999999999204
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,27.97500205039978,0.3322083652019501,2.0276389477658086e-05,9.293529697684512,80.21,80.24,-0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,62.31956715053983,0.7258936762809753,1.9691126201198334e-05,45.23737970314446,80.21,80.25,-0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,27.0722758769989,1.9758838415145874,0.00012059837899869308,53.491672458387285,80.21,80.31,-0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,58.82974202292306,0.3517330586910248,2.1468082195497118e-05,20.692365103726644,80.21,80.44,-0.23000000000000398
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,14.924482864992958,0.6642471551895142,1.801885729138222e-05,9.913545285746222,80.21,80.08,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,17.54409255981445,0.9572949409484863,5.8428646298125386e-05,16.794871051042353,80.21,80.31,-0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,53.52967922504131,0.5475931167602539,1.6711215721443295e-05,29.312483886016985,80.21,80.07,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,43.0045686412502,0.8870869874954224,6.015943654347211e-06,38.14879324450675,80.21,80.3,-0.09000000000000341
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,30.201567422775994,3.7017383575439453,5.648404476232827e-05,111.79830058683953,80.21,80.02,0.18999999999999773
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,49.13525886535645,2.4268879890441895,1.851568595157005e-05,119.2457695789106,80.21,80.19,0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,10.880938561757404,0.654357373714447,9.98470113700023e-06,7.120022380819827,80.21,80.31,-0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,15.530203317341051,1.187525987625122,8.053426022848322e-06,18.442520032444378,80.21,80.25,-0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,9.84283922029578,1.3602789640426636,2.0756209778483026e-05,13.389007137822441,80.21,80.36,-0.15000000000000568
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,18.025308756992736,0.5997079610824585,9.150817277259193e-06,10.809921162537899,80.21,80.08,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,13.566019654273989,1.5140831470489502,1.0268033495069378e-05,20.540081731071073,80.21,79.97,0.23999999999999488
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,8.48062303148467,1.041733741760254,1.5895595424808562e-05,8.834551163046713,80.21,80.05,0.1599999999999966
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,44.221316103075374,0.6566954851150513,1.0020377885666676e-05,29.03993863073511,80.21,79.63,0.5799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,24.302476565043133,1.6539525985717773,1.1216583920435773e-05,40.195144266482814,80.21,79.66,0.5499999999999972
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,12.607732852300009,0.7687832117080688,1.1730700862244703e-05,9.692613354548532,80.21,80.11,0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1,59.34945920995764,0.9278731346130371,7.0791102189105e-06,55.06876875473198,80.21,80.67,-0.46000000000000796
