config_name,method,bits,accuracy,inference_time,model_size_mb,drop_percentage
Baseline (Float32),float,32,91.20234604105572,7.973639726638794,6.072105407714844,0.0
Affine_PTQ,affine,8,91.05571847507332,3.7041873931884766,1.5738849639892578,0.14662756598239923
Symmetric_PTQ,symmetric,8,90.6158357771261,3.635573387145996,1.5740365982055664,0.5865102639296254
PoT_PTQ,pot_manual,8,33.43108504398827,3.6047558784484863,1.5736722946166992,57.77126099706745
