epoch,total_s,train_s,val_s
1,4.19,3.402,0.789
2,3.723,2.965,0.757
3,3.81,3.007,0.804
4,3.838,3.022,0.817
5,3.788,3.017,0.771
6,3.728,2.934,0.794
7,3.786,2.976,0.809
8,3.841,3.068,0.773
9,3.78,2.971,0.809
10,3.72,2.912,0.808
11,3.676,2.892,0.785
12,3.811,3.0,0.811
13,3.724,2.957,0.768
14,3.736,2.926,0.81
15,3.667,2.842,0.825
16,3.733,2.947,0.786
17,3.77,2.979,0.791
18,3.828,2.995,0.832
19,3.78,2.996,0.784
20,3.754,2.969,0.785
21,3.67,2.87,0.8
22,3.672,2.895,0.776
23,3.748,2.943,0.805
24,3.748,2.969,0.779
