model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.0.conv2,layer4.0.conv2,"(512, 512, 3, 3)",17.203825668052392
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.0.conv3,layer4.0.conv3,"(2048, 512, 1, 1)",12.88624529157366
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.0.downsample.0,layer4.0.downsample.0,"(2048, 1024, 1, 1)",35.39424514770508
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.1.conv1,layer4.1.conv1,"(512, 2048, 1, 1)",25.722494029998778
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.1.conv2,layer4.1.conv2,"(512, 512, 3, 3)",59.815912034776474
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.1.conv3,layer4.1.conv3,"(2048, 512, 1, 1)",21.241905905983664
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.2.conv1,layer4.2.conv1,"(512, 2048, 1, 1)",20.86275078268612
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.2.conv2,layer4.2.conv2,"(512, 512, 3, 3)",14.279857873916626
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer4.2.conv3,layer4.2.conv3,"(2048, 512, 1, 1)",5.848538143294198
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,fc,fc,"(10, 2048)",6.3931756019592285
resnet50_no_weights,CIFAR10,ptq,20260811,conv1,conv1,"(64, 3, 3, 3)",1030.9168579989466
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",10.431173041563582
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",22.022082960376373
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",5.15650637394477
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",2.0089843285083773
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",13.90222792530173
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",4.314628159222395
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",1.1429196219891309
