model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,0.5865050493096904,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,0.5789358321496763,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv3,0.29227160286150466,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,0.3846759967713056,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,-0.2646682500691657,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,-0.255896212564108,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv3,-0.1457720656158692,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv1,-0.20559685126836724,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv2,-0.35405272035035784,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,-0.25268428533035525,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,-0.06843076903632372,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,-0.0898606610839221,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,-0.37334788700833377,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,0.6980324917794736,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,0.4915695415173009,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,0.22877072416404332,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,0.22976867413407032,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,-0.05971050260885313,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,-0.11326914641006347,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,-0.1395150690316429,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,0.14927781701065257,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,-0.033695451997204806,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,-0.1536821968856099,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,0.4277882878712189,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,0.1421764619146888,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,-0.060574852160826254,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,0.4401182074518073,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,0.029763845002783285,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,-0.047084062858620435,1.0
