model,dataset,stage,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
cnn,CIFAR10,PTQ,1,0.28817050042562187,0.1868869999270828,3470.1678295419574,5350.826972395979,1.5419504863262645
cnn,CIFAR10,PTQ,8,0.6999430001997098,0.30725999977221363,11429.502113339824,26036.58141616474,2.278015363921795
cnn,CIFAR10,PTQ,32,1.6852865005603235,0.6557440001415671,18987.86941529565,48799.531513962145,2.57003724044214
cnn,CIFAR10,PTQ,64,3.0642389997410646,1.0693720000745088,20886.099291017494,59848.20997327476,2.8654565478875105
cnn,CIFAR10,PTQ,128,7.941112500247982,1.9083629999840923,16118.648362682541,67073.19309851794,4.16121696989209
cnn,CIFAR10,QAT,1,0.28371999997034436,0.18670200006454252,3524.6017203740457,5356.129016584193,1.5196409244264277
cnn,CIFAR10,QAT,8,0.6998384997132234,0.3086400001848233,11431.208776422278,25920.165873539885,2.267491249657006
cnn,CIFAR10,QAT,32,1.7185765000249376,0.6581840002581885,18620.06142847622,48618.62334460764,2.6110882357377037
cnn,CIFAR10,QAT,64,3.296884499832231,1.0724724997999147,19412.266339101894,59675.18981786491,3.074097005235391
cnn,CIFAR10,QAT,128,7.6932914994358725,1.9415980000303534,16637.872100567864,65925.0782077438,3.962350341994379
resnet18_no_weights,CIFAR10,PTQ,1,3.566851999494247,0.9617294995223347,280.35926361446803,1039.793414360975,3.7087892190743936
resnet18_no_weights,CIFAR10,PTQ,8,9.107506499731244,4.4361979998939205,878.396298727437,1803.3460184129062,2.0529981979950005
resnet18_no_weights,CIFAR10,PTQ,32,29.82982500043363,9.917904000303679,1072.7518515289587,3226.4881772419035,3.0076743029091895
resnet18_no_weights,CIFAR10,PTQ,64,72.37199900009728,20.010293500035914,884.3199149427112,3198.353887207358,3.616738505108253
resnet18_no_weights,CIFAR10,PTQ,128,159.39008050008852,37.219542999537225,803.0612670399455,3439.053510183924,4.28242981119006
resnet18_no_weights,CIFAR10,QAT,1,3.643863999968744,0.9980995000660187,274.4339525318666,1001.9041187114668,3.6508023495931243
resnet18_no_weights,CIFAR10,QAT,8,9.054379999724915,3.314068999770825,883.5502817689396,2413.9509468732294,2.732103646710749
resnet18_no_weights,CIFAR10,QAT,32,35.57654750011352,10.555958000168175,899.4689549315568,3031.4633687904197,3.370281266707079
resnet18_no_weights,CIFAR10,QAT,64,71.24314600014259,20.49354749988197,898.3320304225743,3122.9341821062753,3.476369623197394
resnet18_no_weights,CIFAR10,QAT,128,164.41807649971452,38.22240250019604,778.5032079500228,3348.8214143353102,4.301615433484884
resnet50_no_weights,CIFAR10,PTQ,1,12.758903500071028,2.604288500151597,78.37664106436992,383.98203576208607,4.8991897400492785
resnet50_no_weights,CIFAR10,PTQ,8,28.449561999877915,9.077095000066038,281.1994082732919,881.3392390342724,3.1342144154788443
resnet50_no_weights,CIFAR10,PTQ,32,134.95646950013906,29.505322999739292,237.11349384378366,1084.550065772293,4.573970246024134
resnet50_no_weights,CIFAR10,PTQ,64,328.8438704998953,61.898227500023495,194.6212343952459,1033.9552937921478,5.312654073976035
resnet50_no_weights,CIFAR10,PTQ,128,767.9610350000985,134.56093599961605,166.67512304186576,951.2418968337529,5.707161809593014
resnet50_no_weights,CIFAR10,QAT,1,12.069749499914906,2.5316895003015816,82.85176092569694,394.9931458343835,4.767468324404366
resnet50_no_weights,CIFAR10,QAT,8,26.574246500331355,8.408839499679743,301.04334284323915,951.3797950721602,3.1602751487102894
resnet50_no_weights,CIFAR10,QAT,32,161.5704230002848,41.533282000273175,198.05605138474877,770.46644182344,3.890143403529297
resnet50_no_weights,CIFAR10,QAT,64,342.7409000000807,69.58300750011404,186.72997590887147,919.7647859629395,4.925640789520617
resnet50_no_weights,CIFAR10,QAT,128,812.7453830002196,149.35165999986566,157.4908977366229,857.0376787249311,5.441823565944635
