epoch,total_s,train_s,val_s
1,3.985,3.18,0.806
2,3.672,2.894,0.778
3,3.722,2.948,0.774
4,3.817,3.015,0.803
5,3.67,2.881,0.789
6,3.747,2.909,0.838
7,3.729,2.962,0.768
8,3.766,2.964,0.802
9,3.784,2.966,0.818
10,3.658,2.861,0.797
11,3.742,2.945,0.797
12,3.609,2.829,0.78
13,3.734,2.948,0.786
14,3.843,3.006,0.837
15,3.789,3.016,0.773
16,3.705,2.922,0.783
17,3.74,2.936,0.803
18,3.759,2.96,0.799
19,3.695,2.897,0.798
20,3.791,2.992,0.8
21,3.742,2.956,0.786
22,3.73,2.952,0.778
23,3.766,2.983,0.783
24,3.778,2.971,0.807
25,3.851,3.004,0.847
26,3.745,2.928,0.818
27,3.741,2.904,0.837
28,3.65,2.842,0.808
29,3.696,2.911,0.785
30,3.748,2.948,0.8
31,3.672,2.899,0.773
