epoch,total_s,train_s,val_s
1,791.967,765.263,26.705
2,782.492,755.931,26.561
3,778.306,751.586,26.72
4,775.495,749.276,26.219
5,773.653,747.486,26.167
6,774.642,748.169,26.473
7,772.521,746.057,26.464
8,774.06,747.501,26.559
9,775.519,749.227,26.292
10,774.528,748.097,26.431
11,775.584,748.946,26.637
12,782.931,755.723,27.209
13,773.873,747.66,26.213
14,775.259,749.136,26.123
15,777.211,750.766,26.445
16,772.054,745.669,26.385
17,771.408,745.084,26.324
18,770.251,743.742,26.509
19,772.144,745.721,26.423
20,775.473,748.157,27.315
21,776.075,750.031,26.045
22,780.06,753.491,26.57
23,781.746,754.756,26.99
24,780.474,753.879,26.595
25,778.479,751.877,26.602
26,781.742,755.411,26.331
27,781.929,754.827,27.101
28,776.685,750.225,26.46
29,775.507,748.869,26.639
30,776.614,750.398,26.215
31,778.489,752.084,26.405
32,782.123,754.746,27.378
33,790.736,762.928,27.808
34,789.335,761.415,27.92
35,795.059,767.342,27.717
36,792.119,764.891,27.228
37,788.742,760.777,27.965
38,787.071,759.447,27.623
39,782.766,756.081,26.685
40,778.472,751.711,26.761
41,778.683,751.664,27.019
42,776.62,749.64,26.981
43,776.03,749.512,26.518
44,773.453,746.681,26.771
45,774.73,747.885,26.845
46,774.695,748.042,26.653
47,773.569,746.829,26.74
48,782.363,755.744,26.62
49,784.716,758.073,26.643
