epoch,total_s,train_s,val_s
1,26.493,24.265,2.228
2,26.034,23.946,2.088
3,26.144,24.002,2.143
4,26.056,23.945,2.11
5,26.207,24.079,2.128
6,26.119,23.976,2.143
7,26.121,24.012,2.109
8,26.138,24.03,2.108
9,26.24,24.108,2.132
10,26.206,24.095,2.111
11,26.226,24.133,2.093
12,26.174,24.083,2.091
13,26.132,24.031,2.101
14,25.988,23.899,2.089
15,25.981,23.905,2.075
16,26.182,24.092,2.09
17,26.008,23.894,2.114
18,26.027,23.922,2.105
19,26.116,24.014,2.103
20,26.075,23.981,2.094
21,26.136,24.046,2.09
22,26.107,23.999,2.108
