model,dataset,stage,backend,num_threads,fp32_acc,int8_acc,acc_delta,fp32_size_mb,int8_size_mb,size_reduction_x,conv_quantized,linear_quantized,eval_subset_batches
cnn,CIFAR10,PTQ,fbgemm,16,22.03,21.97,-0.060000000000002274,5.528807640075684,1.419846534729004,3.8939473420843527,True,True,
cnn,CIFAR10,QAT,fbgemm,16,27.11,27.31,0.1999999999999993,5.528807640075684,1.419846534729004,3.8939473420843527,True,True,
resnet18_no_weights,CIFAR10,PTQ,fbgemm,16,82.21,82.02,-0.18999999999999773,42.62131214141846,10.783049583435059,3.952621362967059,True,True,
resnet18_no_weights,CIFAR10,QAT,fbgemm,16,88.47,88.45,-0.01999999999999602,42.62131214141846,10.783049583435059,3.952621362967059,True,True,
resnet50_no_weights,CIFAR10,PTQ,fbgemm,16,73.04,65.03,-8.010000000000005,89.85062313079834,22.995654106140137,3.907287121126381,True,True,
resnet50_no_weights,CIFAR10,QAT,fbgemm,16,86.48,86.12,-0.35999999999999943,89.85062313079834,22.995654106140137,3.907287121126381,True,True,
