model,dataset,n_seeds,spearman_profile_rho,spearman_p,spike_layer,elev_random,elev_trained,verdict,bn_mode
resnet50_no_weights,CIFAR10,3,0.4462359443491518,0.0007194617360161155,layer4.1.conv2.weight,33.51044406651405,4.472253541346877,architectural,default
resnet18_no_weights,CIFAR10,3,0.05324675324675325,0.8186916800528405,layer3.0.conv2.weight,1.9873618174489756,1.7954400541860684,architectural,default
cnn,CIFAR10,3,-0.6,0.208,conv3.weight,0.4857784440727759,3.432318743107098,learned,default
cnn,CIFAR10,3,-0.5428571428571429,0.26570262390670546,conv3.weight,0.7038477248654486,3.432318743107098,learned,populated
