model,dataset,layer,trace_random_mean,trace_random_std,trace_trained_fp32,ratio_trained_over_random,elev_over_median_random,elev_over_median_trained,classification
resnet50_no_weights,CIFAR10,conv1.weight,0.7475730151351955,0.9429606967036634,13.87340584397316,18.557927537638864,0.1375846980904857,1.0144777004010748,learned
resnet50_no_weights,CIFAR10,fc.weight,3240.410287747005,4338.4116912637655,5.493646225263906,0.0016953551363656275,596.3710060459431,0.401716900096587,architectural
resnet50_no_weights,CIFAR10,layer1.0.conv1.weight,0.16133161229374293,0.22148551838338168,4.2047243172472175,26.062618834996254,0.029691763507370208,0.3074658886328539,learned
resnet50_no_weights,CIFAR10,layer1.0.conv2.weight,1.3580202528857181,1.8725661501275672,5.190635684658499,3.822207860029101,0.2499325185784787,0.37955958415789137,mixed
resnet50_no_weights,CIFAR10,layer1.0.conv3.weight,0.5860596913638908,0.7956301624999353,2.586037952166337,4.412584571629647,0.10785949207211824,0.18910121021243625,mixed
resnet50_no_weights,CIFAR10,layer1.0.downsample.0.weight,0.592086832327211,0.7390907665077193,20.265618324279785,34.22744303335594,0.10896873806280886,1.4819012797605442,learned
resnet50_no_weights,CIFAR10,layer1.1.conv1.weight,0.18169517216338504,0.23292517825230985,2.5408404697390163,13.984083558666194,0.033439510122067855,0.18579619350979976,learned
resnet50_no_weights,CIFAR10,layer1.1.conv2.weight,1.409520427988629,1.8779789522318073,3.9050083330699374,2.770451747650329,0.259410704521105,0.2855494835466653,architectural
resnet50_no_weights,CIFAR10,layer1.1.conv3.weight,0.803705024578505,1.193886688912534,2.204062024377427,2.742376813599399,0.14791533525383138,0.16116963629396697,architectural
resnet50_no_weights,CIFAR10,layer1.2.conv1.weight,0.2707214304014809,0.40042477242419616,4.488950221702971,16.581436552864844,0.04982406469243168,0.32824959850118074,learned
resnet50_no_weights,CIFAR10,layer1.2.conv2.weight,1.8912403921991296,2.611410178551854,13.160799162728447,6.958818782114262,0.3480673233372287,0.9623691125452939,mixed
resnet50_no_weights,CIFAR10,layer1.2.conv3.weight,0.795440731340174,1.1672161584111236,5.904548158771114,7.422989452429745,0.14639435968742281,0.43176365669571254,mixed
resnet50_no_weights,CIFAR10,layer2.0.conv1.weight,0.3505707386943992,0.4864546853529257,14.464818600452308,41.2607699499462,0.06451967669526527,1.0577241144344007,learned
resnet50_no_weights,CIFAR10,layer2.0.conv2.weight,2.9151712953890327,3.809816098035132,25.021796570883858,8.583302329595925,0.5365134300435068,1.829691636690713,learned
resnet50_no_weights,CIFAR10,layer2.0.conv3.weight,1.1210559623762721,1.3664255610089824,28.802203347947863,25.69202993835973,0.20632117934083619,2.1061297670898593,learned
