model,dataset,ptq_val_acc,qat_val_acc,acc_recovered,fp32_fps,qat_fps,speedup,status
cnn,IMAGENET100,14.64,55.96,41.32,914.8,149.4,0.16,ok
resnet18_no_weights,IMAGENET100,70.48,82.74,12.26,295.3,77.7,0.26,ok
resnet50_no_weights,IMAGENET100,70.98,83.94,12.96,125.3,25.6,0.20,ok
