model,dataset,best_train_acc,best_val_acc,ptq_val_acc,qat_val_acc,fp32_fps,ptq_fps,qat_fps,wall_time_min,status
cnn,IMAGENET100,45.77,49.20,14.64,55.96,914.8,380.5,149.4,218.2,ok
resnet18_no_weights,IMAGENET100,83.28,80.40,70.48,82.74,295.3,78.2,77.7,334.3,ok
resnet50_no_weights,IMAGENET100,83.35,80.70,70.98,83.94,125.3,25.9,25.6,553.8,ok
