epoch,total_s,train_s,val_s
1,107.851,100.503,7.347
2,106.412,99.775,6.636
3,105.316,98.692,6.624
4,105.374,98.754,6.619
5,105.711,99.057,6.654
6,105.073,98.491,6.582
7,105.549,98.945,6.604
8,106.701,100.155,6.546
9,104.811,98.218,6.593
10,105.621,99.076,6.545
11,104.733,98.1,6.633
12,105.335,98.689,6.646
13,106.599,99.966,6.633
14,104.966,98.318,6.648
15,107.287,100.559,6.728
16,105.953,99.252,6.701
17,106.255,99.564,6.691
18,106.061,99.349,6.713
19,106.132,99.488,6.644
20,105.46,98.798,6.662
21,105.929,99.192,6.737
22,106.19,99.445,6.745
23,106.403,99.714,6.689
24,106.157,99.431,6.726
25,106.099,99.409,6.69
26,106.535,99.785,6.75
27,106.625,99.904,6.722
28,106.41,99.707,6.702
29,106.261,99.539,6.721
30,106.363,99.646,6.717
31,106.133,99.436,6.697
32,105.893,99.218,6.675
33,106.048,99.394,6.654
34,106.2,99.546,6.654
35,105.195,98.578,6.617
36,105.054,98.351,6.703
37,105.916,99.279,6.637
38,105.158,98.49,6.668
39,106.654,99.993,6.661
40,105.007,98.33,6.677
41,105.948,99.367,6.581
42,105.247,98.609,6.638
43,105.129,98.512,6.618
44,105.12,98.451,6.668
45,105.218,98.534,6.684
46,105.16,98.56,6.6
47,105.098,98.521,6.576
48,105.586,98.986,6.6
49,105.382,98.698,6.685
50,105.603,98.939,6.664
51,105.182,98.547,6.635
52,105.653,99.035,6.618
53,104.806,98.197,6.609
54,105.343,98.776,6.567
55,104.753,98.135,6.618
56,106.583,99.931,6.652
57,106.457,99.746,6.711
58,106.624,99.92,6.704
59,107.16,100.486,6.673
60,107.195,100.622,6.573
61,107.767,101.046,6.722
62,105.683,98.996,6.687
63,107.763,101.054,6.709
64,106.077,99.427,6.65
65,105.733,99.058,6.675
66,105.536,98.889,6.647
67,106.399,99.683,6.716
68,108.189,101.487,6.702
69,107.8,101.114,6.686
70,106.223,99.549,6.674
71,106.423,99.724,6.699
72,107.959,101.261,6.699
73,107.5,100.811,6.688
74,106.566,99.825,6.741
75,106.334,99.651,6.683
76,106.163,99.397,6.766
77,106.63,99.948,6.682
78,106.0,99.304,6.696
79,106.141,99.4,6.741
80,106.57,99.92,6.651
81,106.666,99.968,6.698
82,106.676,99.977,6.699
83,106.227,99.452,6.775
84,105.929,99.196,6.733
85,106.741,100.032,6.709
86,106.341,99.654,6.687
87,105.919,99.251,6.668
88,107.329,100.675,6.654
89,107.097,100.447,6.65
90,107.929,101.289,6.641
91,107.196,100.49,6.706
92,106.146,99.438,6.708
93,106.063,99.396,6.667
94,106.471,99.752,6.72
95,107.343,100.591,6.752
96,107.006,100.353,6.653
97,107.488,100.814,6.674
98,106.87,100.125,6.745
99,106.725,100.015,6.71
100,105.743,99.01,6.733
