model,dataset,stage,layer,trace
cnn,IMAGENET100,FP32,conv1.weight,268.9346543629964
cnn,IMAGENET100,FP32,conv2.weight,480.0160217285156
cnn,IMAGENET100,FP32,conv3.weight,925.3344762465533
cnn,IMAGENET100,FP32,conv4.weight,100.88389242849043
cnn,IMAGENET100,FP32,fc1.weight,76.4640869140625
cnn,IMAGENET100,FP32,fc2.weight,72.20388793945312
cnn,IMAGENET100,PTQ,conv1.weight,892.1692968297888
cnn,IMAGENET100,PTQ,conv2.weight,3580.823155721029
cnn,IMAGENET100,PTQ,conv3.weight,1363.9590928819443
cnn,IMAGENET100,PTQ,conv4.weight,12.926668127377829
cnn,IMAGENET100,PTQ,fc1.weight,255.50983344184027
cnn,IMAGENET100,PTQ,fc2.weight,156.0969034830729
cnn,IMAGENET100,QAT,conv1.weight,174.6353905995687
cnn,IMAGENET100,QAT,conv2.weight,1693.2478201729912
cnn,IMAGENET100,QAT,conv3.weight,1076.7023204456675
cnn,IMAGENET100,QAT,conv4.weight,7.123477458953857
cnn,IMAGENET100,QAT,fc1.weight,98.8853874206543
cnn,IMAGENET100,QAT,fc2.weight,103.80559794108073
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,317.65360764325675
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,457.72283203125
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,203.51280163180442
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,300.5362978203352
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,180.4572326660156
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,791.0179612901476
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,532.7947305532603
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,442.4011962890625
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,310.7166112263997
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,280.0889808654785
