model,dataset,stage,layer,eigenvalue
cnn,IMAGENET100,FP32,conv1.weight,85.4901123046875
cnn,IMAGENET100,FP32,conv2.weight,77.33206176757812
cnn,IMAGENET100,FP32,conv3.weight,202.11383056640625
cnn,IMAGENET100,FP32,conv4.weight,28.564437866210938
cnn,IMAGENET100,FP32,fc1.weight,13.868184089660645
cnn,IMAGENET100,FP32,fc2.weight,8.986440658569336
cnn,IMAGENET100,PTQ,conv1.weight,375.6492919921875
cnn,IMAGENET100,PTQ,conv2.weight,1353.0810546875
cnn,IMAGENET100,PTQ,conv3.weight,373.49053955078125
cnn,IMAGENET100,PTQ,conv4.weight,4.046160697937012
cnn,IMAGENET100,PTQ,fc1.weight,68.14517974853516
cnn,IMAGENET100,PTQ,fc2.weight,97.96351623535156
cnn,IMAGENET100,QAT,conv1.weight,25.556121826171875
cnn,IMAGENET100,QAT,conv2.weight,349.4527587890625
cnn,IMAGENET100,QAT,conv3.weight,234.17872619628906
cnn,IMAGENET100,QAT,conv4.weight,1.2913289070129395
cnn,IMAGENET100,QAT,fc1.weight,11.86107063293457
cnn,IMAGENET100,QAT,fc2.weight,9.26930046081543
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,19.66663360595703
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,31.38469696044922
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,12.592639923095703
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,11.621410369873047
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,8.64011001586914
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,46.6348876953125
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,29.19548797607422
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,24.935169219970703
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,17.32871437072754
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,14.108989715576172
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,44.136924743652344
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,50.39603042602539
resnet18_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,6.951578140258789
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,26.485984802246094
