model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,42,conv1,conv1,"(64, 3, 7, 7)",315.65107896592883,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,conv1,conv1,"(64, 3, 7, 7)",391.19624989827474,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,conv1,conv1,"(64, 3, 7, 7)",589.7996434529622,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",conv1,conv1,"(64, 3, 7, 7)",432.21565743905524,aggregate,3,141.60262249980667
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",130.03635270254952,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",125.72208508578214,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",82.27183405558269,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",112.67675728130479,aggregate,3,26.419646923053556
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",50.889638900756836,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",50.00484677723476,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",60.32065322182395,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",53.73837963327185,aggregate,3,5.717557037002308
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",87.42823905944825,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",75.74377377827962,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",71.44679908752441,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",78.20627064175076,aggregate,3,8.270400473737963
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",229.30793889363608,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",204.73668377216046,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",183.32810923258464,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",205.79091063279373,aggregate,3,23.00803619651375
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",14.217686192194622,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",12.86948098341624,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",12.05287090142568,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",13.046679359012181,aggregate,3,1.0932317956509199
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",16.56423570315043,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",16.520772181059186,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",10.752862890561422,44,3,
