model,dataset,stage,layer,eigenvalue
cnn,CIFAR10,FP32,conv1.weight,9.988561630249023
cnn,CIFAR10,FP32,conv2.weight,14.406362533569336
cnn,CIFAR10,FP32,conv3.weight,24.44454574584961
cnn,CIFAR10,FP32,conv4.weight,7.107736587524414
cnn,CIFAR10,FP32,fc1.weight,0.9388740062713623
cnn,CIFAR10,FP32,fc2.weight,0.7155085802078247
cnn,CIFAR10,PTQ,conv1.weight,72.85147094726562
cnn,CIFAR10,PTQ,conv2.weight,157.19070434570312
cnn,CIFAR10,PTQ,conv3.weight,56.469886779785156
cnn,CIFAR10,PTQ,conv4.weight,2.6302225589752197
cnn,CIFAR10,PTQ,fc1.weight,1.5309679508209229
cnn,CIFAR10,PTQ,fc2.weight,0.7331438064575195
cnn,CIFAR10,QAT,conv1.weight,53.39521408081055
cnn,CIFAR10,QAT,conv2.weight,84.83636474609375
cnn,CIFAR10,QAT,conv3.weight,28.543811798095703
cnn,CIFAR10,QAT,conv4.weight,1.1825666427612305
cnn,CIFAR10,QAT,fc1.weight,0.940241813659668
cnn,CIFAR10,QAT,fc2.weight,0.7963509559631348
resnet18_no_weights,CIFAR10,FP32,conv1.weight,5.131046295166016
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,9.888492584228516
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,13.257488250732422
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,20.311233520507812
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,6.8258256912231445
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,10.297977447509766
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,9.637815475463867
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,6.1280598640441895
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,6.761891841888428
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,4.751483917236328
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,8.320343017578125
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,10.85426139831543
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,3.9923481941223145
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,8.118430137634277
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,5.608773708343506
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,5.344288349151611
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,5.387808322906494
