model,dataset,layer,n_seeds,trace_random_mean,trace_random_std,trace_trained_fp32,ratio_trained_over_random,elev_over_median_random,elev_over_median_trained,classification
cnn,CIFAR10,conv1.weight,3,0.4135447831791744,0.05351016359496458,55.032780227661135,133.07574527863736,0.04881020933458559,0.9148855692339739,learned
cnn,CIFAR10,conv2.weight,3,3.7954615346067455,0.1439570525885859,128.12882804870605,33.75843145304902,0.4479739064807819,2.1300616705114686,learned
cnn,CIFAR10,conv3.weight,3,6.0021682788619835,0.481759943868035,206.46302599225726,34.398073562743036,0.7084289345894864,3.432318743107098,learned
cnn,CIFAR10,conv4.weight,3,12.291466826943035,1.12994178531816,65.27249526977539,5.310391037032077,1.450747520595048,1.085114430766026,architectural
cnn,CIFAR10,fc1.weight,3,10.942843382300788,1.2926884855369085,12.831473995657529,1.1725904819593285,1.2915710654105135,0.21331523397626803,architectural
cnn,CIFAR10,fc2.weight,3,12.15697334604974,0.6604540051970933,4.486801915698582,0.36907228369933975,1.4348734116144626,0.07459027706219229,architectural
