model,dataset,spike_layer,descriptor,spearman_vs_residual,partial_corr_controlling_numel,spike_A_share,spike_G_share,resolution_contrast_ratio,hypothesis_supported
resnet50_no_weights,CIFAR10,conv1,output_map,-0.050431567763872275,-0.11361583540533171,1.5718611437672185,-0.5718611437672184,nan,undetermined
resnet50_no_weights,CIFAR10,conv1,fan_in,0.048735971090251136,0.036858757254699885,1.5718611437672185,-0.5718611437672184,nan,undetermined
resnet50_no_weights,CIFAR10,conv1,tr_A_prev,0.2928205226474759,0.2822420563165363,1.5718611437672185,-0.5718611437672184,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,output_map,0.6402276769904821,0.45628001881238056,-0.8687817665484935,1.8687817665484936,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,fan_in,-0.09289513184885823,-0.49329621848235206,-0.8687817665484935,1.8687817665484936,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,tr_A_prev,0.15974025974025974,0.15759769352265612,-0.8687817665484935,1.8687817665484936,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,output_map,0.6402276769904821,0.45628001881238056,1.2423182508889166,-0.24231825088891662,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,fan_in,-0.09289513184885823,-0.49329621848235206,1.2423182508889166,-0.24231825088891662,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,tr_A_prev,0.15974025974025974,0.15759769352265612,1.2423182508889166,-0.24231825088891662,nan,undetermined
cnn,CIFAR10,conv2,output_map,0.5797710356524485,0.28573117593898056,-3.7031206320769896,4.703120632076989,nan,undetermined
cnn,CIFAR10,conv2,fan_in,-0.28988551782622424,-0.7266191830090722,-3.7031206320769896,4.703120632076989,nan,undetermined
cnn,CIFAR10,conv2,tr_A_prev,0.6571428571428573,0.6276857536527087,-3.7031206320769896,4.703120632076989,nan,undetermined
cnn,CIFAR10,conv1,output_map,0.5797710356524485,0.28573117593898056,22.367577836636038,-21.367577836636038,nan,undetermined
cnn,CIFAR10,conv1,fan_in,-0.28988551782622424,-0.7266191830090722,22.367577836636038,-21.367577836636038,nan,undetermined
cnn,CIFAR10,conv1,tr_A_prev,0.6571428571428573,0.6276857536527087,22.367577836636038,-21.367577836636038,nan,undetermined
