model,dataset,stage,excluded_layer,selection,excluded_trace,fp32_acc,all_quantized_acc,ablated_acc,recovery_pts,fraction_of_fp32_recovered,excluded_layer_still_fp32,other_layers_quantized
cnn,CIFAR10,PTQ,,none,,66.22,65.76,65.76,0.0,0.0,,True
cnn,CIFAR10,PTQ,conv2,top_trace,798.4767532348633,66.22,65.76,65.41,-0.3500000000000085,-0.7608695652174202,True,True
cnn,CIFAR10,PTQ,conv3,top_trace,368.0720757378472,66.22,65.76,65.59,-0.1700000000000017,-0.3695652173913131,True,True
cnn,CIFAR10,PTQ,conv1,top_trace,268.70069908373284,66.22,65.76,65.62,-0.14000000000000057,-0.30434782608696187,True,True
cnn,CIFAR10,PTQ,fc2,low_trace,5.243991404771805,66.22,65.76,65.56,-0.20000000000000284,-0.43478260869566426,True,True
cnn,CIFAR10,PTQ,fc1,low_trace,13.764831725587236,66.22,65.76,65.66,-0.10000000000000853,-0.2173913043478476,True,True
cnn,CIFAR10,PTQ,conv4,low_trace,22.17500825361772,66.22,65.76,65.9,0.14000000000000057,0.30434782608696187,True,True
cnn,CIFAR10,QAT,,none,,85.3,85.3,85.3,0.0,0.0,,True
cnn,CIFAR10,QAT,conv2,top_trace,553.7812194824219,85.3,85.3,85.21,-0.09000000000000341,nan,True,True
cnn,CIFAR10,QAT,conv3,top_trace,261.40921783447266,85.3,85.3,85.27,-0.030000000000001137,nan,True,True
cnn,CIFAR10,QAT,conv1,top_trace,170.55114459991455,85.3,85.3,85.21,-0.09000000000000341,nan,True,True
cnn,CIFAR10,QAT,fc2,low_trace,5.079000064304897,85.3,85.3,85.12,-0.1799999999999926,nan,True,True
cnn,CIFAR10,QAT,fc1,low_trace,10.255356046888563,85.3,85.3,85.13,-0.1700000000000017,nan,True,True
cnn,CIFAR10,QAT,conv4,low_trace,14.41961701711019,85.3,85.3,85.16,-0.14000000000000057,nan,True,True
resnet18_no_weights,CIFAR10,PTQ,,none,,82.43,81.96,81.96,0.0,0.0,,True
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,top_trace,217.74737646640875,82.43,81.96,82.08,0.12000000000000455,0.2553191489361728,True,True
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,top_trace,216.10453451833416,82.43,81.96,82.01,0.05000000000001137,0.10638297872342549,True,True
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,top_trace,153.32715797424316,82.43,81.96,82.05,0.09000000000000341,0.1914893617021296,True,True
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,low_trace,2.339421865986843,82.43,81.96,81.97,0.010000000000005116,0.021276595744691144,True,True
resnet18_no_weights,CIFAR10,PTQ,fc,low_trace,2.937571841127732,82.43,81.96,82.0,0.04000000000000625,0.08510638297873434,True,True
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,low_trace,7.408154031809638,82.43,81.96,81.93,-0.029999999999986926,-0.06382978723401296,True,True
resnet18_no_weights,CIFAR10,QAT,,none,,90.54,90.58,90.58,0.0,0.0,,True
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,top_trace,126.15004980153051,90.54,90.58,90.62,0.04000000000000625,-1.0000000000003553,True,True
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,top_trace,109.93876931606196,90.54,90.58,90.57,-0.010000000000005116,0.25000000000017764,True,True
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,top_trace,91.6156742993523,90.54,90.58,90.51,-0.06999999999999318,1.7500000000001776,True,True
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,low_trace,1.6489897576662211,90.54,90.58,90.59,0.010000000000005116,-0.25000000000017764,True,True
