model,dataset,stage,layer,trace
cnn,CIFAR10,FP32,conv1.weight,53.38009173695634
cnn,CIFAR10,FP32,conv2.weight,150.3383069719587
cnn,CIFAR10,FP32,conv3.weight,214.97011021205358
cnn,CIFAR10,FP32,conv4.weight,60.975521959577286
cnn,CIFAR10,FP32,fc1.weight,12.585847797393798
cnn,CIFAR10,FP32,fc2.weight,4.685575347958189
cnn,CIFAR10,PTQ,conv1.weight,341.98773193359375
cnn,CIFAR10,PTQ,conv2.weight,937.5497020374645
cnn,CIFAR10,PTQ,conv3.weight,410.9729919433594
cnn,CIFAR10,PTQ,conv4.weight,25.80622959136963
cnn,CIFAR10,PTQ,fc1.weight,17.323169008890787
cnn,CIFAR10,PTQ,fc2.weight,6.048891815645941
cnn,CIFAR10,QAT,conv1.weight,246.43883688790459
cnn,CIFAR10,QAT,conv2.weight,591.2625052134196
cnn,CIFAR10,QAT,conv3.weight,269.76753997802734
cnn,CIFAR10,QAT,conv4.weight,15.098093842015121
cnn,CIFAR10,QAT,fc1.weight,11.434000194072723
cnn,CIFAR10,QAT,fc2.weight,5.171910339593888
resnet18_no_weights,CIFAR10,FP32,conv1.weight,24.918066641863653
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,43.34339445287531
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,59.98330203692118
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,71.49048055013021
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,39.93652616228376
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,52.55519358317057
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,68.19747997465588
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,45.04359635247125
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,55.961911315917966
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,40.27441430091858
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,81.34008224487305
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,99.62916050786558
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,31.902492237091064
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,84.09252275739398
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,51.945521672566734
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,62.17580023678866
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,60.49740543005601
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,25.216243743896484
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,52.96461886028911
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,17.7198812670824
resnet18_no_weights,CIFAR10,FP32,fc.weight,5.181543791294098
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,188.51094913482666
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,85.22966480255127
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,57.10036768232073
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,352.1241729736328
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,40.13247323036194
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,175.1703852335612
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,40.59423689408736
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,22.74072093963623
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,127.57371190388997
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,22.10425555706024
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,283.04170772007535
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,59.51088193567788
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,30.128686004214817
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,126.1187475104081
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,19.712474045930087
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,108.75212478637695
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,22.17027395963669
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,11.987883607546488
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,85.00131130218506
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,2.820269598680384
resnet18_no_weights,CIFAR10,PTQ,fc.weight,3.7676607370376587
resnet18_no_weights,CIFAR10,QAT,conv1.weight,131.45138914688775
