model,dataset,stage,predictor,n_layers,damage_mode,spearman_rho_abs,spearman_p_abs,top5_overlap_abs,conv1_damage_rank_abs,spearman_rho_signed,spearman_p_signed,top5_overlap_signed,conv1_damage_rank_signed,conv1_predictor_rank
resnet18_no_weights,CIFAR10,PTQ,raw_trh,21,both,0.34796793967634304,0.12217341808624252,1/5,1,0.44668438287659457,0.042359556785361095,3/5,1,3
resnet18_no_weights,CIFAR10,PTQ,dwsq,21,both,-0.6764236584362556,0.0007604835775417412,0/5,1,-0.397919712256879,0.07402592156859973,0/5,1,21
resnet18_no_weights,CIFAR10,PTQ,trh_dwsq,21,both,-0.3499191617679861,0.11995205875325814,0/5,1,0.0,1.0,0/5,1,17
resnet50_no_weights,CIFAR10,PTQ,raw_trh,54,both,0.28249196484958006,0.03848302824267311,3/5,1,0.0786266384080211,0.5719771714101677,2/5,1,1
resnet50_no_weights,CIFAR10,PTQ,dwsq,54,both,-0.03870380385859671,0.7811176343676832,1/5,1,0.031015748192974844,0.8238166713329677,1/5,1,54
resnet50_no_weights,CIFAR10,PTQ,trh_dwsq,54,both,0.14683780418542558,0.2893533677541272,2/5,1,0.05596568585374428,0.6877176165833865,2/5,1,28
cnn,CIFAR10,PTQ,raw_trh,6,both,0.7714285714285715,0.07239650145772594,4/5,1,0.7714285714285715,0.07239650145772594,4/5,1,2
cnn,CIFAR10,PTQ,dwsq,6,both,-0.8857142857142858,0.01884548104956266,4/5,1,-0.8857142857142858,0.01884548104956266,4/5,1,6
cnn,CIFAR10,PTQ,trh_dwsq,6,both,0.3714285714285715,0.4684781341107872,4/5,1,0.3714285714285715,0.4684781341107872,4/5,1,4
resnet18_no_weights,CIFAR10,QAT,raw_trh,21,both,0.16172300479544344,0.4837029667612829,2/5,1,-0.16172300479544344,0.4837029667612829,0/5,20,3
resnet18_no_weights,CIFAR10,QAT,dwsq,21,both,-0.3951779875243496,0.07622413070314961,1/5,1,0.3951779875243496,0.07622413070314961,2/5,20,21
resnet18_no_weights,CIFAR10,QAT,trh_dwsq,21,both,-0.1597666781245308,0.48907832461945194,1/5,1,0.1597666781245308,0.48907832461945194,2/5,20,16
resnet50_no_weights,CIFAR10,QAT,raw_trh,54,both,0.006448169833178218,0.9630903510064951,2/5,1,-0.5292323701607945,3.879467521690777e-05,0/5,54,1
resnet50_no_weights,CIFAR10,QAT,dwsq,54,both,-0.12800952538646698,0.35628547887001194,1/5,1,0.0016780445548083126,0.990391685614332,0/5,54,54
resnet50_no_weights,CIFAR10,QAT,trh_dwsq,54,both,-0.07672940552971241,0.5813153423030728,1/5,1,-0.35605054462932745,0.008231694081099493,0/5,54,28
cnn,CIFAR10,QAT,raw_trh,6,both,0.4285714285714286,0.3965014577259473,4/5,1,-0.4285714285714286,0.3965014577259473,4/5,6,2
cnn,CIFAR10,QAT,dwsq,6,both,-0.7142857142857143,0.11078717201166179,4/5,1,0.7142857142857143,0.11078717201166179,5/5,6,6
cnn,CIFAR10,QAT,trh_dwsq,6,both,-0.3142857142857143,0.5440932944606415,4/5,1,0.3142857142857143,0.5440932944606415,4/5,6,4
