model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,IMAGENET100,PTQ,conv1.weight,0.002725949976593256,2.23904521154085
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,0.0006056621205061674,5.150954044160613
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,0.00013190365280024707,2.2163976308257647
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv3.weight,1.8565689970273525e-05,12.097211216668295
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.downsample.0.weight,0.0005048674647696316,2.4487976571875802
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,1.963517024705652e-05,4.90960324226057
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,0.00016868000966496766,-7.739775233842031
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv3.weight,1.476153738622088e-05,3.900900642381955
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv1.weight,1.4284238204709254e-05,2.044190817777279
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv2.weight,2.0525660147541203e-05,-5.308295333242138
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv3.weight,1.533275280962698e-05,-9.772076305564347
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,4.933715536026284e-05,3.592139018053148
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,8.818573405733332e-05,-2.2226666706458973
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv3.weight,1.1009895388269797e-05,8.636025401516957
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,0.0001003205543383956,1.1126695106727107
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,2.1886742615606636e-05,3.746641084744713
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,5.361232615541667e-05,-0.5324780805504301
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv3.weight,1.1327529136906378e-05,7.364437722586463
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv1.weight,1.8647506294655614e-05,2.2256595886370008
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv2.weight,3.0906827305443585e-05,-2.6761718944168895
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv3.weight,1.4840808944427408e-05,0.7082718821282462
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv1.weight,4.996261122869328e-05,2.4523351328137357
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv2.weight,0.00014063729031477123,-2.0524371858105104
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv3.weight,9.586906344338786e-06,9.604035425431672
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,6.734208727721125e-05,3.469202117586943
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,9.595535811968148e-05,0.05226325602838015
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv3.weight,1.3173133083910216e-05,10.617839151159629
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,8.34128150017932e-05,-1.5856056714983848
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,1.818468444980681e-05,0.39364369610205574
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,4.0700968384044245e-05,-2.819143688481081
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv3.weight,1.1704577445925679e-05,4.557724403965014
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv1.weight,2.2226460714591667e-05,2.397434657509822
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv2.weight,3.463217944954522e-05,-0.7568642569080324
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv3.weight,1.0337309504393488e-05,6.414594110976081
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv1.weight,3.404895687708631e-05,2.253291105755519
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv2.weight,6.68201973894611e-05,-1.0407861912687066
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv3.weight,8.746359526412562e-06,9.557185476700855
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv1.weight,6.894725083839148e-05,1.0922924814522053
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv2.weight,0.00015766221622470766,-3.9808368538467875
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv3.weight,7.49512446418521e-06,10.471532117517874
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv1.weight,0.00012163189239799976,-0.5480079683929794
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv2.weight,0.00017493349150754511,-3.4988585058829322
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv3.weight,8.251990948338062e-06,10.548679164657873
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,0.0003446604241617024,-2.5144962228437775
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,0.00011152207298437133,-2.0752060801476877
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv3.weight,6.735710485372692e-06,12.254949886530614
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,0.00012338437954895198,-4.370640081444446
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,0.00011435789201641455,-3.6443566346462624
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv2.weight,6.700850644847378e-05,-1.7758668605889203
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv3.weight,5.296040399116464e-06,11.728283072112529
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv1.weight,0.0014741988852620125,-9.21738961636885
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv2.weight,0.00024869380285963416,-5.583471764994286
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv3.weight,6.884167305543087e-06,8.893402688196003
resnet50_no_weights,IMAGENET100,PTQ,fc.weight,6.493887485703453e-05,13.465083329650076
resnet50_no_weights,IMAGENET100,QAT,conv1.weight,0.002706796396523714,2.26966813418999
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv1.weight,0.0006048142677173018,5.1570378943119906
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv2.weight,0.00013231506454758346,2.2028729269098832
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv3.weight,1.867671926447656e-05,12.071316247116036
resnet50_no_weights,IMAGENET100,QAT,layer1.0.downsample.0.weight,0.0005054299253970385,2.443961980596007
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv1.weight,1.978297223104164e-05,4.8770345402114375
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv2.weight,0.0001689202181296423,-7.7459553972264334
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv3.weight,1.478987542213872e-05,3.8925713916085387
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv1.weight,1.4321631169877946e-05,2.0328368068421736
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv2.weight,2.0487155779846944e-05,-5.300140692331122
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv3.weight,1.533275280962698e-05,-9.772076305564347
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv1.weight,4.90343663841486e-05,3.618874397248533
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv2.weight,8.806278492556885e-05,-2.2166074834879397
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv3.weight,1.102797978091985e-05,8.628897714624163
resnet50_no_weights,IMAGENET100,QAT,layer2.0.downsample.0.weight,9.989736281568184e-05,1.131028508649687
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv1.weight,2.1902582375332713e-05,3.743499168058321
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv2.weight,5.358704220270738e-05,-0.5304294338999613
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv3.weight,1.1346564861014485e-05,7.357145601558632
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv1.weight,1.85790668183472e-05,2.2416282464567745
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv2.weight,3.0889601475792006e-05,-2.673750692057726
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv3.weight,1.4844249562884215e-05,0.7072651523510763
resnet50_no_weights,IMAGENET100,QAT,layer2.3.conv1.weight,5.011340545024723e-05,2.439247252208557
resnet50_no_weights,IMAGENET100,QAT,layer2.3.conv2.weight,0.00014043239934835583,-2.046105444243185
resnet50_no_weights,IMAGENET100,QAT,layer2.3.conv3.weight,9.5900431915652e-06,9.602614641119125
resnet50_no_weights,IMAGENET100,QAT,layer3.0.conv1.weight,6.714600749546662e-05,3.4818659043268636
resnet50_no_weights,IMAGENET100,QAT,layer3.0.conv2.weight,9.575752483215183e-05,0.06122644455125213
resnet50_no_weights,IMAGENET100,QAT,layer3.0.conv3.weight,1.3189015589887276e-05,10.612606128901431
resnet50_no_weights,IMAGENET100,QAT,layer3.0.downsample.0.weight,8.321425411850214e-05,-1.5752551399540717
resnet50_no_weights,IMAGENET100,QAT,layer3.1.conv1.weight,1.8177350284531713e-05,0.39539562641883047
resnet50_no_weights,IMAGENET100,QAT,layer3.1.conv2.weight,4.069420538144186e-05,-2.818421990969498
resnet50_no_weights,IMAGENET100,QAT,layer3.1.conv3.weight,1.1714684660546482e-05,4.55397577363687
