model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99
resnet50_no_weights,CIFAR10,PTQ,conv1,-4.129914283752441,6.346264362335205,10.476178646087646,0.04108305647969246,101,1.2068541049957275,2.000068187713623,4.309532165527344,3.5708808112664125,8.680567603591765
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,-1.6446564197540283,3.922759532928467,5.567415952682495,0.02183300442993641,75,0.5507903099060059,0.991610050201416,4.061926364898682,7.374723723065975,10.108049928533768
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,-4.314816474914551,5.028055667877197,9.342872142791748,0.036638714373111725,118,0.6405473351478577,1.1478724479675293,4.902414321899414,7.653477038926075,14.585763814996016
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,-3.969074249267578,3.157248020172119,7.126322269439697,0.027946362271904945,142,0.567613959312439,1.1581271886825562,2.4605188369750977,4.334845534728513,12.554874933082935
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,-4.229605674743652,4.078453540802002,8.308059215545654,0.032580625265836716,130,0.6894269585609436,1.1304289102554321,3.23818302154541,4.696919639325596,12.050673551970252
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.465834617614746,2.63987398147583,7.105708599090576,0.027865523472428322,160,0.4990081489086151,0.7677850723266602,1.7758420705795288,3.5587436286631546,14.239664451635772
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,-1.6478463411331177,3.4764697551727295,5.124316096305847,0.020095357671380043,82,0.4980771243572235,0.8967494964599609,1.7877285480499268,3.5892604992791406,10.288198043463368
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,-6.74623966217041,4.373737812042236,11.119977474212646,0.04360775649547577,155,0.33918771147727966,0.7683333158493042,3.06148099899292,9.025919558403553,32.78414016174496
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,-2.571638822555542,2.5384724140167236,5.110111236572266,0.020039651542901993,128,0.6143367290496826,1.056688904762268,2.403563976287842,3.9124536473766014,8.318094938710722
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,-2.502774477005005,2.9622864723205566,5.4650609493255615,0.021431611850857735,117,0.6215701699256897,1.1346092224121094,2.8207333087921143,4.538077026974026,8.792347531701727
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,-4.87325382232666,7.127985000610352,12.001238822937012,0.0470636822283268,104,0.28991279006004333,0.7079128623008728,3.8162500858306885,13.163441616495469,41.39603092520153
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.5183446407318115,2.955221176147461,5.4735658168792725,0.021464964374899864,117,0.6839547157287598,1.3250999450683594,3.054813861846924,4.466397835406387,8.002819033197454
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,-3.4626734256744385,3.1966981887817383,6.659371614456177,0.026115182787179947,133,0.6178193092346191,1.1958101987838745,3.302720785140991,5.345771386188209,10.778833738146012
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,-10.075788497924805,11.57698917388916,21.652777671813965,0.08491285890340805,119,0.592080295085907,1.1370817422866821,6.683752536773682,11.288591416142152,36.57067774679495
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.4615488052368164,3.496164321899414,5.9577131271362305,0.02336358092725277,105,0.5607295632362366,0.9437101483345032,2.7092955112457275,4.831732958057529,10.624931371107738
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,-3.304333448410034,5.246185302734375,8.55051875114441,0.033531446009874344,99,0.4806748032569885,0.91154944896698,2.4319889545440674,5.059530763970222,17.788572842194416
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,-5.011257648468018,10.468344688415527,15.479602336883545,0.06070432439446449,83,0.46664732694625854,1.0835752487182617,4.824651718139648,10.338967866187476,33.171951156737805
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,-42.703941345214844,43.509254455566406,86.21319580078125,0.3380909562110901,126,0.49749091267585754,1.7613738775253296,22.044443130493164,44.31124784153861,173.2960213023104
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,-9.040843963623047,9.03685474395752,18.077698707580566,0.07089293003082275,128,0.4285460114479065,0.9885277152061462,4.192228317260742,9.782446237445251,42.183798762943496
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,-9.940485000610352,15.290626525878906,25.231111526489258,0.09894553571939468,100,0.37338095903396606,1.628038763999939,6.825756072998047,18.28094311680504,67.5747140180065
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,-42.623756408691406,38.54410934448242,81.16786575317383,0.3183053433895111,134,0.1704491674900055,1.135361671447754,19.636442184448242,115.20409558820316,476.19983686886127
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,-11.200364112854004,13.416670799255371,24.617034912109375,0.09653738886117935,116,0.5206576585769653,1.2280606031417847,6.524078369140625,12.530456935891234,47.2806545848022
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,-18.29684829711914,19.528587341308594,37.825435638427734,0.1483350396156311,123,0.4671597480773926,2.1890666484832764,9.965522766113281,21.33215202535457,80.96895289908697
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,-31.194107055664062,21.6603946685791,52.854501724243164,0.20727254450321198,150,0.1048775166273117,1.0794851779937744,10.614648818969727,101.2099557685895,503.96408519153516
