epoch,total_s,train_s,val_s
1,170.184,161.879,8.305
2,170.383,161.334,9.049
3,167.594,158.028,9.565
4,173.281,164.349,8.932
5,167.99,159.419,8.57
6,168.218,159.302,8.916
7,169.851,160.838,9.013
8,174.434,164.737,9.697
9,170.483,161.418,9.065
10,167.44,158.465,8.975
11,173.572,163.47,10.102
12,170.159,160.371,9.788
13,175.704,164.248,11.456
14,176.857,168.208,8.649
15,171.53,163.315,8.215
16,172.088,163.421,8.667
17,169.852,161.483,8.369
18,171.486,161.765,9.721
19,169.217,160.574,8.644
20,175.188,166.692,8.496
21,168.31,159.788,8.521
22,176.141,166.749,9.392
23,173.816,162.969,10.847
24,175.631,166.251,9.38
25,170.0,160.951,9.049
26,171.363,161.829,9.534
27,175.817,166.95,8.867
28,173.794,164.73,9.064
29,170.654,161.845,8.809
30,169.933,161.101,8.831
31,178.98,169.713,9.266
32,172.45,164.917,7.533
33,174.375,165.903,8.471
34,169.275,160.341,8.934
35,169.535,160.71,8.825
36,172.857,163.331,9.526
37,167.91,159.562,8.349
38,175.515,166.52,8.995
39,172.329,163.909,8.42
40,174.06,164.909,9.152
41,173.428,165.119,8.309
42,173.199,163.795,9.404
43,172.736,163.504,9.232
44,174.665,165.845,8.819
45,175.889,166.379,9.51
46,175.857,166.237,9.62
47,176.102,167.498,8.604
48,176.271,166.49,9.781
49,169.786,160.565,9.222
50,175.56,166.108,9.452
51,168.663,160.133,8.53
52,169.12,159.79,9.33
53,186.403,175.523,10.88
54,181.428,171.799,9.63
55,182.926,172.935,9.991
56,182.52,172.55,9.97
57,182.06,171.688,10.371
58,180.515,170.506,10.01
59,187.997,178.257,9.74
60,187.157,177.706,9.451
61,190.529,180.394,10.136
62,188.718,178.415,10.303
63,181.436,171.332,10.104
64,182.52,170.991,11.529
65,188.531,178.773,9.759
66,189.766,178.641,11.124
67,193.834,182.844,10.99
68,190.131,179.422,10.709
69,171.635,162.022,9.613
70,175.219,165.577,9.641
71,182.517,171.796,10.722
72,176.446,167.331,9.115
73,182.501,173.651,8.85
74,179.642,169.254,10.389
75,173.644,163.313,10.332
76,184.653,175.067,9.586
77,181.161,170.942,10.219
78,183.831,174.25,9.58
79,182.804,173.893,8.911
80,179.163,169.125,10.039
81,178.831,170.65,8.181
82,177.167,166.305,10.862
83,187.335,177.357,9.978
84,185.237,175.918,9.318
85,182.393,173.548,8.845
86,178.875,166.046,12.829
87,184.401,175.737,8.664
88,153.641,144.543,9.098
89,155.494,147.167,8.327
90,152.568,143.956,8.612
91,152.644,144.203,8.441
92,150.374,142.539,7.835
93,153.541,144.772,8.768
94,152.905,144.499,8.407
95,152.979,144.621,8.359
96,154.334,145.758,8.576
97,150.989,142.695,8.294
98,154.045,144.118,9.928
99,154.782,146.114,8.668
100,152.705,144.156,8.549
101,152.106,142.984,9.122
102,153.926,145.255,8.67
103,153.249,144.984,8.265
104,150.564,142.059,8.505
105,151.439,144.303,7.136
106,153.68,145.58,8.1
107,152.77,144.872,7.897
108,155.994,147.66,8.334
109,155.306,146.922,8.384
110,153.031,144.391,8.641
111,153.873,145.295,8.578
112,153.574,146.14,7.433
113,153.989,146.052,7.937
114,153.748,146.837,6.911
115,154.392,146.686,7.705
116,153.645,145.662,7.983
117,157.929,149.426,8.503
118,150.871,142.187,8.685
119,151.883,142.786,9.096
120,150.257,142.806,7.452
121,156.149,147.077,9.072
122,156.551,148.115,8.436
123,154.939,146.036,8.903
124,157.772,148.604,9.169
125,159.914,151.315,8.599
126,159.854,151.593,8.26
127,159.177,150.405,8.772
128,162.525,153.583,8.942
129,154.139,146.714,7.425
130,154.626,147.136,7.49
131,143.876,136.358,7.518
132,144.238,136.568,7.67
133,143.672,136.731,6.941
134,143.567,136.006,7.56
135,142.831,136.0,6.831
136,144.105,136.686,7.419
137,142.343,135.814,6.529
138,143.327,135.696,7.63
139,143.947,136.571,7.376
140,143.819,136.269,7.55
141,143.571,136.449,7.122
142,143.554,136.119,7.435
143,143.784,136.166,7.618
144,142.565,135.639,6.926
145,143.327,136.191,7.136
146,144.344,137.26,7.085
147,142.235,135.899,6.336
148,142.022,135.482,6.54
149,142.289,135.664,6.625
150,141.498,134.626,6.872
