model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,"(256, 256, 3, 3)",32.090012369929134,5.440608108508493e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,"(1024, 256, 1, 1)",16.449838383992514,6.275115350338941e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,"(256, 1024, 1, 1)",15.315138101577759,5.842261543875793e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,"(256, 256, 3, 3)",13.904308535018057,2.3573656777306548e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,"(1024, 256, 1, 1)",5.904531534980325,2.252400030128603e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,"(512, 1024, 1, 1)",25.318306159973144,4.829083663935307e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,"(512, 512, 3, 3)",18.403953647613527,7.800612406248952e-06,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv3,"(2048, 512, 1, 1)",11.645325330587534,1.1105847673976454e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,"(2048, 1024, 1, 1)",42.82855560302735,2.0422246743692087e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,"(512, 2048, 1, 1)",24.140172958374023,2.302186294400599e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,"(512, 512, 3, 3)",62.41973104232397,2.6456930814244576e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv3,"(2048, 512, 1, 1)",22.20318295405461,2.1174605325750934e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv1,"(512, 2048, 1, 1)",18.447313261032104,1.7592728863746742e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv2,"(512, 512, 3, 3)",12.44849427541097,5.276359674839855e-06,20260811
