epoch,total_s,train_s,val_s
1,4.046,3.314,0.732
2,3.627,2.904,0.723
3,3.636,2.906,0.73
4,3.748,2.972,0.776
5,3.605,2.843,0.762
6,3.718,2.976,0.743
7,3.727,2.971,0.756
8,3.652,2.915,0.736
9,3.645,2.893,0.752
10,3.524,2.798,0.726
11,3.713,2.954,0.759
12,3.61,2.871,0.739
13,3.659,2.931,0.728
14,3.64,2.903,0.737
15,3.676,2.932,0.744
16,3.601,2.854,0.747
17,3.618,2.894,0.724
18,3.667,2.891,0.776
19,3.526,2.785,0.742
20,3.637,2.902,0.735
21,3.653,2.918,0.735
22,3.629,2.874,0.755
23,3.649,2.907,0.742
24,3.614,2.859,0.755
25,3.653,2.898,0.755
26,3.673,2.94,0.733
27,3.721,2.986,0.735
28,3.612,2.868,0.744
29,3.724,2.99,0.734
30,3.712,2.948,0.765
31,3.653,2.911,0.742
32,3.683,2.953,0.73
33,3.72,2.974,0.747
34,3.603,2.869,0.735
35,3.649,2.913,0.735
36,3.688,2.953,0.735
37,3.669,2.924,0.745
38,3.69,2.946,0.745
39,3.625,2.877,0.749
40,3.639,2.895,0.744
