model,dataset,stage,layer,weight_damage_pts,fp32_acc,isolated_acc
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv3,-0.0400000000000062,80.02,80.06
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv1,-0.0200000000000102,80.02,80.04
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv2,-0.0200000000000102,80.02,80.04
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv2,-0.0200000000000102,80.02,80.04
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv1,-0.0200000000000102,80.02,80.04
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv1,-0.0200000000000102,80.02,80.04
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv1,-0.0200000000000102,80.02,80.04
cnn,CIFAR10,QAT,conv1,-2.240000000000009,81.3,83.54
cnn,IMAGENET100,QAT,conv2,-1.2000000000000028,43.04,44.24
cnn,IMAGENET100,QAT,conv1,-0.480000000000004,43.04,43.52
cnn,IMAGENET100,QAT,fc2,-0.2800000000000011,43.04,43.32
cnn,IMAGENET100,QAT,fc1,-0.1799999999999997,43.04,43.22
resnet18_no_weights,CIFAR10,QAT,conv1,-5.899999999999992,84.18,90.08
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,-5.739999999999995,84.18,89.92
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,-5.739999999999995,84.18,89.92
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,-5.72999999999999,84.18,89.91
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,-5.689999999999998,84.18,89.87
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,-5.679999999999993,84.18,89.86
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,-5.659999999999997,84.18,89.84
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,-5.649999999999992,84.18,89.83
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,-5.639999999999986,84.18,89.82
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,-5.629999999999996,84.18,89.81
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,-5.629999999999996,84.18,89.81
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,-5.61999999999999,84.18,89.8
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,-5.61999999999999,84.18,89.8
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,-5.61999999999999,84.18,89.8
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,-5.579999999999998,84.18,89.76
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,-5.579999999999998,84.18,89.76
resnet18_no_weights,CIFAR10,QAT,fc,-5.569999999999993,84.18,89.75
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,-5.539999999999992,84.18,89.72
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,-5.529999999999987,84.18,89.71
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,-5.519999999999996,84.18,89.7
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,-5.489999999999995,84.18,89.67
resnet18_no_weights,IMAGENET100,QAT,layer2.0.downsample.0,-0.7399999999999949,80.06,80.8
resnet18_no_weights,IMAGENET100,QAT,conv1,-0.6400000000000006,80.06,80.7
resnet18_no_weights,IMAGENET100,QAT,fc,-0.4599999999999937,80.06,80.52
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv2,-0.3999999999999915,80.06,80.46
resnet18_no_weights,IMAGENET100,QAT,layer3.1.conv1,-0.3799999999999954,80.06,80.44
resnet18_no_weights,IMAGENET100,QAT,layer3.1.conv2,-0.3799999999999954,80.06,80.44
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv1,-0.3599999999999994,80.06,80.42
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv1,-0.3400000000000034,80.06,80.4
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv2,-0.3199999999999932,80.06,80.38
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv2,-0.2999999999999971,80.06,80.36
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv1,-0.2800000000000011,80.06,80.34
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv2,-0.2599999999999909,80.06,80.32
resnet18_no_weights,IMAGENET100,QAT,layer4.0.downsample.0,-0.2399999999999948,80.06,80.3
resnet18_no_weights,IMAGENET100,QAT,layer4.1.conv1,-0.2399999999999948,80.06,80.3
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv1,-0.2199999999999988,80.06,80.28
resnet18_no_weights,IMAGENET100,QAT,layer3.0.conv1,-0.1799999999999926,80.06,80.24
resnet18_no_weights,IMAGENET100,QAT,layer3.0.downsample.0,-0.1599999999999966,80.06,80.22
resnet18_no_weights,IMAGENET100,QAT,layer4.1.conv2,-0.1599999999999966,80.06,80.22
resnet18_no_weights,IMAGENET100,QAT,layer3.0.conv2,-0.1400000000000005,80.06,80.2
