epoch,total_s,train_s,val_s
1,4.048,3.254,0.794
2,3.719,2.915,0.804
3,3.651,2.873,0.778
4,3.741,2.971,0.77
5,3.776,3.006,0.77
6,3.717,2.945,0.771
7,3.624,2.848,0.776
8,3.649,2.889,0.761
9,3.789,3.014,0.775
10,3.746,2.92,0.826
11,3.726,2.939,0.787
12,3.728,2.939,0.788
13,3.747,2.963,0.784
14,3.663,2.897,0.766
15,3.68,2.887,0.793
16,3.735,2.966,0.769
17,3.701,2.909,0.793
18,3.68,2.887,0.793
19,3.73,2.939,0.791
20,3.716,2.917,0.798
21,3.796,3.019,0.776
22,3.616,2.829,0.787
23,3.654,2.862,0.792
24,3.725,2.945,0.78
25,3.753,2.927,0.827
26,3.773,2.957,0.816
27,3.776,3.009,0.767
