model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.6086852550506592,2.8054275512695312,6.6575608253479,4.138510503807811,9.728523716470923
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.8564860820770264,1.538417100906372,4.127477645874023,4.81908314944787,15.274468643619812
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.5329735279083252,1.034505009651184,2.794384002685547,5.243007122046404,17.078733929990925
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.9170411825180054,1.6183583736419678,3.43198823928833,3.7424581411543594,7.785917010401681
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.8316959142684937,1.8845617771148682,4.209224224090576,5.061013468838235,8.909826909898577
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,12.08830451965332,22.780437469482422,23.254226684570312,1.9236963005658314,2.969156892040444
cnn,CIFAR10,QAT,conv1,-7.891393661499023,7.664823532104492,15.556217193603516,0.061004772782325745,129,1.5827784538269043,2.766735076904297,6.440704822540283,4.06923963803506,9.828423653349008
cnn,CIFAR10,QAT,conv2,-7.543217182159424,5.159477710723877,12.7026948928833,0.04981448873877525,151,0.8015497326850891,1.4589471817016602,3.8807566165924072,4.841566852742086,15.847669052712297
cnn,CIFAR10,QAT,conv3,-5.9195451736450195,3.538827419281006,9.458372592926025,0.03709165379405022,160,0.5226951241493225,1.0301662683486938,2.881319522857666,5.512428545314948,18.095390899846954
cnn,CIFAR10,QAT,conv4,-3.473512649536133,4.190702438354492,7.664215087890625,0.03005574457347393,116,0.9582808613777161,1.6931939125061035,3.551321029663086,3.7059292038425644,7.997879741511082
cnn,CIFAR10,QAT,fc1,-2.726262331008911,4.269510269165039,6.99577260017395,0.027434401214122772,99,0.9426741003990173,1.9231276512145996,3.7822601795196533,4.012266994413753,7.421199539918157
cnn,CIFAR10,QAT,fc2,-10.82536792755127,24.74535369873047,35.57072162628174,0.13949301838874817,78,15.434490203857422,21.812686920166016,21.95395278930664,1.422395718895844,2.304625624589261
resnet18_no_weights,CIFAR10,PTQ,conv1,-3.6338045597076416,4.784788131713867,8.418592691421509,0.03301408886909485,110,0.9711869955062866,1.5859904289245605,3.7324461936950684,3.843179749075324,8.668354014597195
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,-5.668947696685791,3.96222186088562,9.631169557571411,0.037769291549921036,150,0.7253121137619019,1.2115246057510376,3.6685965061187744,5.057955653175626,13.278655319319586
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,-5.055909156799316,4.219723701477051,9.275632858276367,0.036375030875205994,139,0.8319025039672852,1.4679025411605835,3.8103628158569336,4.5802997318623015,11.149903761608504
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.983292102813721,3.6435205936431885,8.62681269645691,0.033830638974905014,147,0.6996168494224548,1.382310390472412,3.5231313705444336,5.0358012009757,12.330767481627243
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,-4.112923622131348,3.0338993072509766,7.146822929382324,0.028026755899190903,147,0.69304358959198,1.172091007232666,3.020221710205078,4.357910174139541,10.312227162493372
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.089714288711548,2.0637571811676025,4.15347146987915,0.01628812402486801,128,0.5068954229354858,0.8158297538757324,1.7960519790649414,3.543239685739933,8.19394155470166
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-2.5791499614715576,3.134150981903076,5.713300943374634,0.022405100986361504,115,0.6200987100601196,1.0224360227584839,3.7905406951904297,6.112802096980544,9.213534636801162
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.3921070098876953,4.91558313369751,7.307690143585205,0.02865760773420334,83,0.6571780443191528,1.2466824054718018,4.32327938079834,6.578551152416128,11.119802626936648
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,-2.148871421813965,2.2549848556518555,4.40385627746582,0.017270024865865707,124,0.46917057037353516,0.806829035282135,1.7314287424087524,3.6904035584121506,9.386471691861754
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,-2.857996940612793,4.271207809448242,7.129204750061035,0.02795766480267048,102,0.4648668169975281,0.7870277762413025,3.1447641849517822,6.76487129208989,15.336015584220425
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,-1.7662436962127686,2.0620040893554688,3.8282477855682373,0.015012736432254314,118,0.4893578588962555,0.8041505813598633,1.8560817241668701,3.792892441440001,7.823002565449411
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,-2.221353054046631,3.029755115509033,5.251108169555664,0.0205925814807415,108,0.5649268627166748,0.936467707157135,2.3667969703674316,4.189563510904314,9.295199991559311
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,-1.4591569900512695,1.8843601942062378,3.3435171842575073,0.013111832551658154,111,0.3594919443130493,0.6171153783798218,1.7583414316177368,4.891184515908248,9.30067345638749
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,-2.061915636062622,2.1325125694274902,4.194428205490112,0.016448739916086197,125,0.3733375370502472,0.6628155708312988,1.939322590827942,5.194555592107338,11.234949045387815
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,-1.9749188423156738,2.3099498748779297,4.2848687171936035,0.016803406178951263,118,0.38405659794807434,0.688799262046814,2.1080636978149414,5.488940195475975,11.156867868138882
