model,dataset,stage,layer,trace
resnet18_no_weights,CIFAR10,QAT,fc.weight,1.8971737500499277
resnet50_no_weights,CIFAR10,FP32,conv1.weight,18.70088269160344
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,4.1534408137605
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,3.6342009470380585
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,2.6856014281511307
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,15.750353292985396
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,2.0069392720858255
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,3.189978276982027
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,2.253746409165232
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,4.307091799833007
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,11.634137746265957
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,4.55424862768915
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,15.146190313192514
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,21.37441384350812
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,19.215539038181305
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,23.94735918373897
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,2.592824451625347
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,5.958757721144577
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,7.959561347961426
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,3.8093165953954062
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,6.610943078994751
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,5.60349026147057
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,5.345115154981613
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,11.486043416536772
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,8.304564425819798
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,41.66970219331629
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,31.546212429470486
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,28.006857872009277
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,31.13362775530134
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,6.20945930480957
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,18.56215830410228
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,13.33589322226388
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,10.043746391932169
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,18.19333673778333
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,12.089491883913675
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,16.316614990234374
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,30.110235009874618
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,16.58381466070811
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,14.025180353837854
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,24.87258372768279
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,14.293005522559671
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv1.weight,14.593161500733475
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv2.weight,14.788889122009277
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv3.weight,6.881196468107162
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,22.818844916972708
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,13.962000489234924
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv3.weight,10.111069178581237
resnet50_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,35.09290568033854
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,23.12859457510489
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,57.73663879394531
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv3.weight,21.649775743484497
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv1.weight,18.6337585873074
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv2.weight,12.50908301426814
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv3.weight,5.889704493915334
resnet50_no_weights,CIFAR10,FP32,fc.weight,4.7601101678960465
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,13161.826611328124
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,93.97798377445766
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,475.70222058015713
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,86.1017331688903
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,37.60608850143574
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,275.47671289597787
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,117.37038005698811
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,24.527275731166203
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,261.5269669083988
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,37.58456877390544
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,27.009810951139247
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,219.125064752141
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,64.26608755923154
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,16.48446031858524
