model,dataset,stage,accuracy,precision,recall,f1
cnn,CIFAR10,FP32,80.03000020980835,82.66875743865967,80.03000020980835,80.17462491989136
cnn,CIFAR10,PTQ,66.06000065803528,74.23499822616577,66.06000065803528,65.92393517494202
cnn,CIFAR10,QAT,85.21999716758728,85.211181640625,85.21999716758728,85.1970374584198
resnet18_no_weights,CIFAR10,FP32,84.68999862670898,86.19458079338074,84.68999862670898,84.8490297794342
resnet18_no_weights,CIFAR10,PTQ,82.30999708175659,84.71510410308838,82.30999708175659,82.53430724143982
resnet18_no_weights,CIFAR10,QAT,90.67000150680542,90.6818151473999,90.67000150680542,90.66623449325562
resnet50_no_weights,CIFAR10,FP32,80.55999875068665,80.4743766784668,80.55999875068665,80.09672164916992
resnet50_no_weights,CIFAR10,PTQ,11.730000376701355,5.244216695427895,11.730000376701355,4.392487555742264
resnet50_no_weights,CIFAR10,QAT,84.68999862670898,84.58530306816101,84.68999862670898,84.6239984035492
